"Date
Measure","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","and 14.50%, respectively, to be effective from the close of","","","","","","","","","","","","","","","rate  of 
the  USD/LKR","","","","","","",""
"","","","business on 08 April 2022.
Effective  13  May  2022,  a  middle","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","exchange","","","rate  applicable","","","","","for 
interbank","","","","","","","foreign  exchange","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","market transactions was introduced together with the permitted","","","","","","","","","","","","","","","","","","","","","",""
"","","","USD/LKR  variation  margin,  which  is  to  be  announced  on","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","a  daily  basis  to  facilitate  orderly  behaviour  of  the  foreign","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","exchange market and to manage undue intraday volatility in","","","","","","","","","","","","","","","","","","","","","",""
"","","","the exchange rate.","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SDFR  and  SLFR  increased  by  100  basis  points  to  14.50% 
and 15.50%, respectively.
Effective 16 January 2023, the availability of the SDF to a particular","","","","","","","","","","","","","","","","","","","","","",""
"","","","LCB was limited to a maximum of five (05) times per calendar","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","month. In addition, the availability of the SLF to a particular LCB","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","was limited to 90 per cent of the SRR of such LCB at any given day.","","","","","","","","","","","","","","","","","","","","","",""
"","","","SDFR  and  SLFR  increased  by  100  basis  points  to  15.50%","","","","","","","","","","","","","","","","","","","","","",""
"","","","and 16.50%, respectively, to be effective from the close of","","","","","","","","","","","","","","","","","","","","","",""
"","","","business on 03 March 2023.","","","","","","","","","","","","","","","","","","","","","",""
"","","","Effective  07  March  2023,  the  issuance  of  market  guidance","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","through the announcement of a middle rate of the USD/LKR","","","","","","","","","","","","","","","","","","","","","",""
"","","","exchange rate and the variation margin was discontinued.","","","","","","","","","","","","","","","","","","","","","",""
"Note: The Central Bank imposed/revised caps on interest rates as follows:","","","Source: Central Bank of Sri Lanka","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"- 27.04.2020:  Imposed caps on interest rates on pawning advances of licensed banks     
- 24.08.2020:  Revised caps on interest rates (tightened) on selected lending products of 
licensed banks
-  26.11.2020: Imposed  caps  on  interest  rates  on  mortgage-backed  housing  loans  of 
licensed banks
paid in respect of foreign currency deposit products of LCBs and NSB
- 31.12.2021:  Revised  caps  on  interest  rates  (linked  to  AWPR)  on  mortgage-backed 
housing loans of licensed banks
- 04.03.2022:  Revised caps on interest rates (relaxed) on selected lending products of 
licensed banks
banks","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","- 24.08.2021:  Imposed caps on interest rates to be paid in respect of foreign currency","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deposit products of LCBs and NSB","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","- 30.12.2021:  Revised caps on interest rates (linked to 364-day Treasury Bill yield) to be","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","- 11.03.2022:  Removed caps on interest rates to be paid in respect of foreign currency","","","","","","","","","","","","","","","","","","","","","","","",""
"","deposit products of LCBs and NSB","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","- 21.04.2022:  Removed caps on interest rates on selected lending products of licensed","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Delisted the Bank Rate from monetary policy instruments and it is to be considered as a policy","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"instrument that the Central Bank uses as the lender of last resort (LOLR) to support the stability","","","","","","","","","","","","","","","","","","","","","","","","",""
"of the banking and financial system (effective 01.03.2023)","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
