"Amounts in Rs. mn
Information on the Lending Programme/Concessionary Credit Scheme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","The prosperity Loan Scheme (“Saubagya”)","","","","","","","","","To start up or expand any micro, small and","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","","","Rs. 2,317.18","","","6%","","","","","","","","","",""
"","","","","","","","","","","","medium scale enterprise (MSME) or any 
MSME affected by disasters.","","","","","","","","","","","","","","","","","","","","","","","","","","million","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBSL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Saubagya COVID-19 Renaissance Facility","","","","","","","","","To support the economic recovery efforts of","","","","","","","","","","","","","","","","","","","","","","Refinance","","","","Rs. 24.450.10","","","4%","","","","","","","","","",""
"Funded","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","(SCRF) Phase I","","","","","","","","","the businesses and individuals negatively","","","","","","","","","","","","","","","","","","","","","","","","","","million","","","","","","","","","","","","",""
"","","","","","","","","","","","affected by the COVID-19 pandamic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","SCRF Phase II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","","","Rs. 92,625.60","","","4%","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","million","","","","","","","","","","","","",""
"","","SCRF Phase III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Interest","","","Rs. 56,841.50","","","4%","","","PFIs own funds","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Subsidy","","","million","","","","","","and Interest","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Guarantee","& Credit","","","","","","","","","Subsidy by the","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Central Bank","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Donor 
Funded","","SAPP – 4P Agribusiness Loan Scheme","","","","","","","","","Contribute to Sri Lanka’s smallholders’","","","","","","","","","","","","","","","","","","","","","","Refinance","","","","Rs. 184.56 million","","","6.5%","","","","","","","","","",""
"","","","","","","","","","","","poverty reduction, increase competitiveness 
while enhancing the quality of diet of 
smallholders involved in commercially","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Funded by the","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fund for","","","","","","",""
"","","SAPP – 4P Youth Loan Scheme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","","","Rs. 151.47 million","","","6.5%","","","Agriculture","","","","","","",""
"","","","","","","","","","","","oriented production & marketing systems.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Development","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(IFAD)","","","","","","",""
