"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","4P Capital","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","854.05","","","",""
"","","","Partnership Programme (SAPP)","","","","","","","","","","","","","","","","","Contribute  to  Poverty  Reduction  of  Smallholders  &  Increase  Competitiveness  &  Increase  the  Income","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","4P Seasonal","","","","","","","","","","","","USD","","30.29","","","Level & Quality of diet of 57,500 Smallholders through commercially oriented Production & Marketing 
Systems,  using  a  Process  of","","","","forming  &  building  capacity  of  Producer  Groups,  Organizations  &","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness Partnership","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.45","","","",""
"","","","","","","","","","","","","","","","","","","","","strengthening the network under the partnerships with the Private Sector.","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Programme (SAPP) Youth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106.42","","","",""
"","","","Partnership Programme (SAPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Income Generation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","(ii) Ongoing Projects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Name of the Project/ Loan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Total Allocation of","","","","","","Objective/s","","","","","","","","","","","","","","","","","Refinance","","","",""
"","","","","","","","","Scheme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","the Fund (Mn.)","","","","","","","","","","","","","","","","","","","","","","","","Granted to","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PFIs (Rs. Mn.)","","",""
"","","","Tea Development Project -","","","","","","","","","","","","LKR","","1,100.00  Develop  the Tea Sector in the Industries.","","","","","","","","","","","","","","","","","","","","","","","","","964.87",""
"","","","Revolving Fund","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Swashakthi Loan Scheme","","","","","","","","","","","LKR
 4,000.00  Support new & existing Entrepreneurs while expanding the Employment Opportunities.","","","","","","","","","","","","","","","","","","","","","","","","","","","","4,448.50",""
"","","","""Athwela"" - Resumption of","","","","","","","","","","","","LKR","","2,000.00  Support to resume any eligible economic activity affected by any disaster as informed by the","","","","","","","","","","","","","","","","","","","","","","","","","1,687.52",""
"","","","Economic Activities affected by","","","","","","","","","","","","","","","","","GOSL.","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Disasters (READ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Poverty Alleviation Micro-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","LKR","","1,031.00  Assist to set up an effective Credit Delivery Mechanism for income generating activities","","","","","","","","","","","","","","","","","","","","","","","","","5,518.79",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","finance Project RF (Probodini)","","","","","","","","","","","","","","","","","","conducted by the Low Income Group/ Community who are unable to access the formal","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","financial sector facilities.","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","458.29",""
"","","","Partnership Programme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(SAPP) 4P Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","405.09",""
"","","","Partnership Programme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(SAPP) 4P Youth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490.21",""
"","","","Partnership Programme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(SAPP) RF Youth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173.85",""
"","","","Partnership Programme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(SAPP) RF Agri Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","USD","","","","","30.29 Increase the Production, Productivity, Quality and Value addition of agriculture produce.","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.32",""
"","","","Partnership Programme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(SAPP) RF Income Generation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237.69",""
"","","","Partnership Programme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(SAPP) 4P FI Bulk Loan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.36",""
"","","","Partnership Programme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(SAPP) RF FI Bulk Loan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Smallholder Agribusiness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.16",""
"","","","Partnership Programme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","(SAPP) RF Promoter Bulk Loan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Self Employment Promotion","","","","","","","","","","","","LKR","","950.00  Support starting of a New Business or expanding the existing Business of Youth who have","","","","","","","","","","","","","","","","","","","","","","","","","493.13",""
"","","","Initiative Phase II (SEPI II)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","completed Certificate or Diploma in National Vocational Qualification (NVQ)","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Supply Chain Re – Energizing 
Loan Scheme (SCREL)","","","","","","","","","","","","LKR","","500.00  To re energize the Tea supply chain by supporting existing tea manufactures to revamp their","","","","","","","","","","","","","","","","","","","","","","","","","213.75",""
"","","","","","","","","","","","","","","","","","","","","businesses.","","","","","","","","","","","","","","","","","","","","","","",""
"","","57.  EVENTS OCCURRING AFTER THE REPORTING DATE 
There were no material events that had occurred subsequent to the reporting date that required adjustments to or disclosure in 
the financial statements except for the following. 
a. 
b.","","","","Receipt of funds amounting to SDR 254.00 Mn by the GOSL from IMF under the extended fund facility (EFF) on 22 March 2023. 
CBSL  and  Ministry  of  Finance,  Economic  Stabilization  and  National  Policies,  held  a  virtual  investor  presentation  on  
30 March 2023  and indicated a possible Domestic  Debt  Optimization  (DDO) while  suggesting that the authorities are 
exploring options on DDO.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
