"","Composition of Imports according to the SITC (a)","","","","","","",""
"28 Metalliferous Ores and Metal Scrap","2,723","2,137","3,985","5,582","15","12","20","17"
"29 Crude Animal and Vegetable Materials, n.e.s.","7,509","8,641","8,800","11,190","42","47","44","35"
"3. Mineral Fuels, Lubricants and Related Materials","695,727","469,673","743,663","1,551,666","3,892","2,543","3,743","4,897"
"32 Coal, Coke and Briquettes","38,719","40,194","55,118","99,949","215","217","278","365"
"33 Petroleum, Petroleum Products and Related Materials","613,302","378,197","619,569","1,374,102","3,433","2,049","3,118","4,288"
"34 Gas, Natural and Manufactured","43,706","51,281","68,976","77,615","244","277","347","244"
"4. Animal and Vegetable Oils, Fats and Waxes","19,903","36,163","56,530","23,673","111","195","285","80"
"41 Animal Oils and Fats","351","259","454","818","2","1","2","2"
"42 Fixed Vegetable Fats and Oils, Crude, Refined or Fractionated","18,487","34,525","51,993","19,551","103","187","262","66"
"43 Animal or Vegetable Fats and Oils, Processed; Waxes of Animal or Vegetable Origin;","","","","","","","",""
"","1,065","1,378","4,083","3,305","6","7","21","12"
"Inedible Mixtures or Preparations of Animal or Vegetable Fats or Oils, n.e.s.","","","","","","","",""
"5. Chemicals and Related Products, n.e.s.","395,214","406,898","566,732","762,240","2,211","2,192","2,848","2,392"
"51 Organic Chemicals","34,025","35,918","52,118","75,467","190","193","262","239"
"52 Inorganic Chemicals","25,420","23,648","37,241","64,337","142","127","187","199"
"53 Dyeing, Tanning and Colouring Material","28,223","26,359","37,107","49,324","158","142","187","156"
"54 Medicinal and Pharmaceutical Products","90,048","101,953","164,317","157,568","504","549","823","502"
"55 Essential Oils, Resinoids, Perfume Materials; Toilet, Polishing and Cleansing Preparations","21,431","21,116","26,810","35,300","120","114","135","114"
"56 Fertilisers","39,542","48,174","31,297","96,450","221","259","158","276"
"57 Plastics in Primary Forms","76,141","68,247","111,559","135,110","426","368","561","439"
"58 Plastics in Non-Primary Forms","30,231","26,709","34,466","55,345","169","144","173","175"
"59 Chemical Materials and Products, n.e.s.","50,153","54,772","71,818","93,340","280","295","361","293"
"6. Manufactured Goods Classified Chiefly by Material","1,042,450","828,966","1,189,644","1,594,501","5,829","4,474","5,977","5,114"
"61 Leather, Leather Manufactures, n.e.s., and Dressed Furskins","2,766","2,358","1,850","4,352","15","13","9","14"
"62 Rubber Manufactures, n.e.s.","23,287","17,723","30,746","34,770","130","96","155","112"
"63 Cork and Wood Manufactures","6,057","5,342","6,970","9,201","34","29","35","30"
"64 Paper, Paperboard and Articles of Paper Pulp, of Paper or of Paperboard","78,106","68,203","87,913","139,938","437","368","442","437"
"65 Textile Yarn, Fabrics, Made-up Articles, n.e.s., and Related Products","500,848","418,279","598,435","944,209","2,800","2,258","3,008","2,991"
"66 Non-metallic Mineral Manufactures, n.e.s.","146,765","96,271","104,487","150,471","821","520","525","485"
"67 Iron and Steel","142,879","116,070","213,829","127,942","799","625","1,071","456"
"68 Non-ferrous Metals","36,328","32,345","51,981","60,158","203","174","262","195"
"69 Manufactures of Metals, n.e.s.","105,415","72,375","93,432","123,458","590","391","470","395"
"7. Machinery and Transport Equipment","767,544","594,094","770,840","694,507","4,292","3,204","3,876","2,278"
"71 Power-generating Machinery and Equipment","35,176","49,224","48,288","58,102","197","266","243","190"
"72 Machinery Specialised for Particular Industries","84,236","80,440","129,644","118,310","471","434","652","397"
"73 Metalworking Machinery","5,442","4,194","6,072","7,763","30","23","31","26"
"74 General Industrial Machinery and Equipment and Machine Parts, n.e.s.","114,376","95,429","119,045","131,790","639","515","599","431"
"75 Office Machines and Automatic Data-processing Machines","40,470","40,677","70,583","47,690","226","219","355","162"
"76 Telecommunications and Sound-recording and Reproducing Apparatus and Equipment","104,506","97,657","156,073","68,006","585","527","785","232"
"77 Electrical Machinery, Apparatus and Appliances, n.e.s. and Electrical Parts Thereof","121,088","104,524","149,197","198,463","677","564","750","633"
"78 Road Vehicles","231,207","104,129","65,078","48,555","1,293","561","328","158"
"79 Other Transport Equipment","31,043","17,821","26,861","15,827","174","95","134","50"
"8. Miscellaneous Manufactured Articles","181,052","146,258","189,601","247,872","1,012","790","953","791"
"81 Prefabricated Buildings; Sanitary, Plumbing, Heating, Lighting Fixtures and Fittings, n.e.s.","12,111","9,651","12,529","17,351","68","52","63","54"
"82 Furniture and Parts Thereof; Bedding, Mattresses, Mattress Supports, Cushions and","","","","","","","",""
"","5,349","3,493","4,145","6,271","30","19","21","21"
"Similar Stuffed Furnishings","","","","","","","",""
"83 Travel Goods, Handbags and Similar Containers","1,503","587","912","978","8","3","5","3"
"84 Articles of Apparel and Clothing Accessories","42,567","31,881","37,795","59,742","238","172","190","191"
"85 Footwear","5,427","3,952","3,641","7,508","30","21","18","25"
"87 Professional, Scientific and Controlling Instruments and Apparatus, n.e.s.","41,099","34,536","47,289","44,519","230","187","238","143"
"88 Photographic Apparatus, Equipment and Supplies and Optical Goods, n.e.s.;","","","","","","","",""
"","8,018","7,604","10,156","11,225","45","41","51","37"
"Watches and Clocks","","","","","","","",""
"89 Miscellaneous Manufactured Articles, n.e.s.","64,978","54,553","73,135","100,277","363","295","368","317"
"9. Commodities and Transactions Not Classified Elsewhere in SITC","3,563","3,434","3,683","3,367","20","19","18","10"
"91 Postal Packages Not Classified according to Kind","57","16","29","60","…","…","…","…"
"93 Special Transactions and Commodities Not Classified according to Kind","903","1,764","3,365","2,781","5","10","17","8"
"96 Coin, Not being Legal Tender","2,147","56","55","-","12","…","…","-"
"97 Gold, Non-monetary (excluding Gold Ores and Concentrates)","456","1,598","234","526","3","9","1","2"
"Total Imports","3,565,028","2,974,915","4,104,218","5,737,333","19,937","16,055","20,637","18,291"
"(a) Data is compiled based on the latest version of SITC - Revision 4 published in 2006.","","","","","","","Sources: Ceylon Petroleum Corporation",""
