"","","","","","","","","","","","","","","","","","","Rs. million"
"","June","1,178,858","3,503,298","441,723","9,566","803,117","80,468","6,017,029","1,132,102","1,132,102","6,100,336","484,570","182,206","817,171","1,185,667","8,769,951","15,919,082","-3,024,301 12,894,781"
"","July","1,418,004","3,565,592","427,626","10,916","816,783","91,025","6,329,945","1,140,883","1,140,883","6,163,141","498,321","183,260","831,709","1,193,896","8,870,327","16,341,156","-3,066,490 13,274,665"
"","August","1,534,409","3,584,702","412,323","10,166","815,649","86,636","6,443,885","1,136,867","1,136,867","6,267,097","528,430","185,404","850,227","1,202,360","9,033,518","16,614,269","-3,111,397 13,502,872"
"","September","1,830,865","3,373,834","389,900","11,027","826,556","83,963","6,516,145","1,123,091","1,123,091","6,333,794","490,791","186,365","855,969","1,206,539","9,073,458","16,712,693","-3,236,642 13,476,051"
"","October","1,880,145","3,417,755","367,131","11,831","836,032","87,831","6,600,725","1,193,768","1,193,768","6,358,454","501,188","188,885","867,833","1,226,608","9,142,968","16,937,461","-3,210,823 13,726,638"
"","November","1,993,699","3,331,541","388,552","11,180","829,671","88,589","6,643,232","1,184,732","1,184,732","6,420,118","500,012","192,164","888,224","1,246,302","9,246,820","17,074,784","-3,289,778 13,785,006"
"","December","2,094,095","3,361,340","376,985","9,078","835,450","92,380","6,769,328","1,188,103","1,188,103","6,498,862","482,566","200,803","892,943","1,263,770","9,338,944","17,296,375","-3,312,401 13,983,974"
"2022","January","2,387,377","3,333,462","332,726","9,528","856,881","90,692","7,010,666","1,191,553","1,191,553","6,529,503","488,268","202,086","893,190","1,287,073","9,400,120","17,602,339","-3,321,475 14,280,864"
"","February","2,442,394","3,352,195","305,347","9,878","853,235","86,206","7,049,256","1,237,505","1,237,505","6,578,286","472,998","203,829","903,550","1,301,263","9,459,926","17,746,686","-3,305,165 14,441,522"
"","March","2,682,533","3,429,740","443,409","8,636","855,873","100,575","7,520,767","1,547,834","1,547,834","6,839,523","694,013","215,646","912,519","1,313,373","9,975,073","19,043,674","-3,162,582 15,881,092"
"","April","2,889,418","3,179,505","500,492","11,672","859,893","106,330","7,547,310","1,725,014","1,725,014","6,955,307","797,524","218,434","919,229","1,300,988","10,191,482","19,463,805","-2,912,736 16,551,069"
"","May","2,904,796","3,112,707","505,043","12,472","859,114","134,124","7,528,256","1,750,139","1,750,139","6,960,157","794,630","222,998","920,535","1,291,472","10,189,793","19,468,187","-3,045,658 16,422,529"
"","June","3,094,136","3,117,429","485,323","11,063","861,749","123,963","7,693,663","1,729,109","1,729,109","6,976,072","738,100","223,927","918,358","1,291,772","10,148,228","19,571,000","-3,114,205 16,456,795"
"","July","3,263,877","3,057,499","505,020","9,147","848,465","126,584","7,810,593","1,754,015","1,754,015","6,945,710","727,426","224,352","914,827","1,295,013","10,107,329","19,671,937","-3,138,077 16,533,859"
"","August","3,311,066","3,212,481","466,543","9,397","866,909","110,388","7,976,784","1,699,812","1,699,812","6,887,237","726,927","227,832","916,323","1,330,718","10,089,036","19,765,632","-3,279,806 16,485,826"
"","September","3,302,445","3,272,424","468,539","7,517","867,178","109,813","8,027,916","1,703,004","1,703,004","6,864,019","712,921","230,587","918,704","1,341,390","10,067,622","19,798,542","-3,366,062 16,432,480"
"","October","3,351,743","3,379,908","446,772","8,016","861,732","109,241","8,157,412","1,777,762","1,777,762","6,832,265","697,844","231,609","922,055","1,345,483","10,029,258","19,964,432","-3,544,204 16,420,228"
"","November","3,369,791","3,499,591","423,242","8,328","864,012","112,230","8,277,193","1,760,362","1,760,362","6,802,512","696,717","233,127","922,543","1,337,896","9,992,795","20,030,350","-3,484,390 16,545,960"
"","December","3,432,493","3,639,290","399,325","15,440","866,044","116,037","8,468,630","1,747,033","1,747,033","6,734,988","679,143","237,062","922,074","1,346,892","9,920,159","20,135,822","-3,529,206 16,606,616"
"","(f)    Net credit to the government equals to credit extended by the Central Bank, LCBs, LSBs and LFCs to the government, net of government deposits and government cash balances.","","","","","","","","","","","","","","","","","Source: Central Bank of Sri Lanka"
