"","Composition of Exports according to the SITC (a)","","","","","","",""
"28 Metalliferous Ores and Metal Scrap","3,225","3,721","2,116","5,487","20","21","11","28"
"29 Crude Animal and Vegetable Materials, n.e.s.","8,811","8,968","8,391","10,388","55","50","45","52"
"3. Mineral Fuels, Lubricants and Related Materials","101,465","93,194","68,849","100,975","622","521","374","506"
"32 Coal, Coke and Briquettes","23","…","-","1","…","…","-","..."
"33 Petroleum, Petroleum Products and Related Materials","101,442","91,675","65,309","92,265","622","513","354","463"
"34 Gas, Natural and Manufactured","…","1,519","3,540","8,709","…","8","19","43"
"4. Animal and Vegetable Oils, Fats and Waxes","14,397","13,220","17,904","25,667","89","74","97","129"
"41 Animal Oils and Fats","20","25","23","34","…","…","…","..."
"42 Fixed Vegetable Fats and Oils, Crude, Refined or Fractionated","12,605","11,011","14,663","17,149","78","62","79","86"
"43 Animal or Vegetable Fats and Oils, Processed; Waxes of Animal or Vegetable Origin;","","","","","","","",""
"","1,772","2,184","3,217","8,484","11","12","17","43"
"Inedible Mixtures or Preparations of Animal or Vegetable Fats or Oils, n.e.s.","","","","","","","",""
"5. Chemicals and Related Products, n.e.s.","34,793","39,936","41,522","58,048","215","223","224","292"
"51 Organic Chemicals","914","1,156","1,133","2,054","6","6","6","10"
"52 Inorganic Chemicals","1,565","1,243","1,976","2,115","10","7","11","11"
"53 Dyeing, Tanning and Colouring Material","1,476","1,420","1,071","1,707","9","8","6","9"
"54 Medicinal and Pharmaceutical Products","738","1,283","1,172","1,488","4","7","6","7"
"55 Essential Oils, Resinoids, Perfume Materials; Toilet, Polishing and Cleansing Preparations","10,893","12,116","12,269","15,474","67","68","66","78"
"56 Fertilisers","119","133","117","50","1","1","1","..."
"57 Plastics in Primary Forms","733","1,009","967","1,694","4","6","5","9"
"58 Plastics in Non-Primary Forms","1,013","1,234","912","1,792","6","7","5","9"
"59 Chemical Materials and Products, n.e.s.","17,342","20,341","21,904","31,673","107","114","118","159"
"6. Manufactured Goods Classified Chiefly by Material","259,859","291,035","248,676","338,374","1,599","1,628","1,344","1,701"
"61 Leather, Leather Manufactures, n.e.s., and Dressed Furskins","52","63","41","76","…","…","…","…"
"62 Rubber Manufactures, n.e.s.","111,543","117,593","99,333","136,196","687","658","537","685"
"63 Cork and Wood Manufactures","4,903","4,172","2,974","3,723","30","23","16","19"
"64 Paper, Paperboard and Articles of Paper Pulp, of Paper or of Paperboard","9,171","10,329","7,440","10,367","56","58","40","52"
"65 Textile Yarn, Fabrics, Made-up Articles, n.e.s., and Related Products","54,078","65,256","78,689","91,208","332","365","425","458"
"66 Non-metallic Mineral Manufactures, n.e.s.","54,516","63,035","40,223","66,610","337","352","218","335"
"67 Iron and Steel","1,340","2,480","1,155","1,807","8","14","6","9"
"68 Non-ferrous Metals","9,143","8,449","4,839","6,989","56","47","26","35"
"69 Manufactures of Metals, n.e.s.","15,115","19,659","13,982","21,399","93","110","75","107"
"7. Machinery and Transport Equipment","87,751","94,956","73,302","125,729","541","532","396","632"
"71 Power-generating Machinery and Equipment","2,149","850","679","688","13","5","4","3"
"72 Machinery Specialised for Particular Industries","1,373","997","3,646","16,072","8","6","20","81"
"73 Metalworking Machinery","89","48","49","30","1","…","…","..."
"74 General Industrial Machinery and Equipment and Machine Parts, n.e.s.","17,764","16,834","12,587","18,292","109","94","68","92"
"75 Office Machines and Automatic Data-processing Machines","300","99","99","88","2","1","1","..."
"76 Telecommunications and Sound-recording and Reproducing Apparatus and Equipment","709","556","537","252","4","3","3","1"
"77 Electrical Machinery, Apparatus and Appliances, n.e.s. and Electrical Parts Thereof","47,544","51,565","44,263","63,323","293","288","239","318"
"78 Road Vehicles","12,593","12,271","10,802","18,718","78","69","58","94"
"79 Other Transport Equipment","5,230","11,737","639","8,265","33","66","3","41"
"8. Miscellaneous Manufactured Articles","924,305","1,057,590","872,225","1,156,375","5,677","5,914","4,719","5,813"
"81 Prefabricated Buildings; Sanitary, Plumbing, Heating, Lighting Fixtures and Fittings, n.e.s.","791","712","476","799","5","4","3","4"
"82 Furniture and Parts Thereof; Bedding, Mattresses, Mattress Supports, Cushions and","","","","","","","",""
"","7,760","9,275","7,683","11,156","48","52","42","56"
"Similar Stuffed Furnishings","","","","","","","",""
"83 Travel Goods, Handbags and Similar Containers","1,057","705","591","1,455","7","4","3","7"
"84 Articles of Apparel and Clothing Accessories","847,313","976,988","802,607","1,066,209","5,203","5,464","4,342","5,360"
"85 Footwear","14,335","9,310","2,880","2,951","89","52","16","15"
"87 Professional, Scientific and Controlling Instruments and Apparatus, n.e.s.","9,074","11,476","13,434","16,971","56","64","73","85"
"88 Photographic Apparatus, Equipment and Supplies and Optical Goods, n.e.s.;","","","","","","","",""
"","232","79","66","37","1","…","…","..."
"Watches and Clocks","","","","","","","",""
"89 Miscellaneous Manufactured Articles, n.e.s.","43,742","49,046","44,489","56,797","269","274","240","285"
"9. Commodities and Transactions Not Classified Elsewhere in SITC","…","…","22","310","…","…","…","2"
"97 Gold, Non-monetary (excluding Gold Ores and Concentrates)","…","…","22","309","…","…","…","2"
"Total Exports","1,933,533","2,134,796","1,858,927","2,486,943","11,890","11,940","10,047","12,499"
"(a) Data is compiled based on the latest version of SITC - Revision 4 published in 2006.","","","","Sources: Ceylon Petroleum Corporation and Other Exporters of Petroleum","","","",""
