"December","8.50","4.50","5.50","8.33 0.15","11.30 0.20 15.00 0.25 12.50 3.00","7.00 0.10","5.80","7.14","4.93","5.08 28.00","3.95 28.00","4.00","28.00 1.00","28.00 4.00","17.42","2.90","5.74","10.29","8.38","","4.55","4.53","4.55"
"2021 January","8.50","4.50","5.50","8.33 0.15","11.30 0.20 15.00 0.25 12.25 3.00","7.00 0.10","5.58","6.88","5.19","5.30 28.00","4.00 28.00","4.00","28.00 1.00","28.00 2.01","17.42","2.89","5.82","10.17","8.37","","4.55","4.54","4.55"
"February","8.50","4.50","5.50","8.33 0.15","8.83 0.20 15.00 0.25 12.25 3.00","7.00 0.10","5.36","6.53","4.96","5.09 28.00","4.00 28.00","4.00","28.00 1.00","28.00 4.00","17.42","2.87","5.72","10.08","8.26","","4.55","4.54","4.55"
"March","8.50","4.50","5.50","8.00 0.15","8.83 0.20 15.00 0.25 12.25 3.00","7.00 0.10","5.20","6.29","4.86","4.99 28.00","4.00 28.00","4.00","28.00 1.00","28.00 4.00","17.42","3.74","5.67","9.91","8.28","","4.65","4.60","4.62"
"April","8.50","4.50","5.50","8.00 0.15","8.83 0.20 15.00 0.25 12.04 3.45","7.00 0.10","5.07","6.09","4.77","4.92 28.00","3.87 28.00","3.04","28.00 1.00","28.00 4.00","17.50","2.87","5.65","9.73","7.95","","4.70","4.60","4.64"
"May","8.50","4.50","5.50","8.00 0.15","8.83 0.20 15.00 0.25 12.00 3.45","7.00 0.10","4.97","5.94","4.77","4.90 28.00","1.00 28.00","3.04","28.00 1.00","28.00 4.00","17.50","4.95","5.69","9.64","7.74","","4.75","4.60","4.66"
"June","8.50","4.50","5.50","8.00 0.15","7.00 0.20 15.00 0.25 10.83 3.45","7.00 0.10","4.87","5.82","4.98","5.10 28.00","1.00 28.00","3.04","28.00 1.00","28.00 4.00","17.50","4.70","5.67","9.50","7.47","","4.95","4.80","4.93"
"July","8.50","4.50","5.50","8.00 0.15","7.00 0.20 15.00 0.25 10.83 3.45","6.00 0.10","4.77","5.67","4.99","5.15 28.00","1.00 28.00","2.84","28.00 1.90","28.00 4.00","17.50","4.00","5.70","9.45","8.09","","5.20","5.00","5.10"
"August","9.00","5.00","6.00","8.00 0.15","7.00 0.20 15.00 0.25 10.83 3.45","6.00 0.10","4.75","5.62","5.19","5.35 28.00","1.00 28.00","3.04","28.00 1.00","28.00 4.00","18.00","5.20","5.85","9.38","8.04","","5.85","5.75","5.79"
"September","9.00","5.00","6.00","8.00 0.15","7.00 0.20 15.00 0.25 10.83 3.45","6.25 0.10","4.75","5.64","5.53","5.69 28.00","1.00 28.00","3.02","28.00 1.00","28.00 4.00","18.00","3.89","6.39","9.37","8.14","","5.95","5.90","5.94"
"October","9.00","5.00","6.00","8.00 0.08","8.00 0.10 15.00 0.15 10.83 0.15","6.25 0.05","4.79","5.70","5.96","6.19 28.00","1.00 28.00","3.02","28.00 1.00","28.00 4.00","18.00","3.15","7.18","9.49","8.78","","6.00","5.80","5.93"
"November","9.00","5.00","6.00","8.00 0.08","8.00 0.10 15.00 0.15 10.83 4.00","7.00 0.05","4.82","5.75","6.27","6.52 28.00","4.00 28.00","3.02","28.00 1.00","28.00 1.26","18.00","3.14","7.89","9.79","9.18","","5.97","5.85","5.92"
"December","9.00","5.00","6.00","8.25 0.08","8.00 0.01 15.00 0.15 10.83 0.15","6.35 0.05","4.94","5.94","6.45","6.67 28.00","4.00 28.00","3.02","28.00 1.00","28.00 3.03","18.00","3.14","8.33","9.87","9.48","","6.00","5.88","5.95"
"(a)  All interest rates are as at the end of period, unless otherwise stated.","","","","","","","","","","","","","","","","","","","Source: Central Bank of Sri Lanka","","","",""
