"","appreciation  was  mainly  supported  by  improved","","Monetary Gold","-212","-152","-42,734","-38,820"
"","","","Special Drawing Rights","123","-118","24,635","-41,965"
"","market  sentiments  towards  the  finalisation  of  the","","Reserve Position in the IMF","-","-58","-","-20,980"
"","","","Other Reserve Assets","-2,428","-906","-479,823","-170,064"
"","IMF-EFF  arrangement,  improvements  in  liquidity","","","","","",""
"","","","Currency and Deposits","1,536","-895","300,122","-166,305"
"","","","Securities","-3,967","-11","-780,435","-3,691"
"","conditions 
of 
the 
domestic","foreign 
exchange","","","","",""
"","","","Other Claims","3","...","490","-69"
"","market, 
and 
the 
relaxation","and 
subsequent","Net Errors and Omissions","-952","-513","-193,669","-228,122"
"","","","Overall Balance (c)","-3,967","-2,806","-745,312","-1,087,831"
"","removal  of","the  mandatory  sales  requirement  of","","","","",""
"","","","As a Percentage of GDP","","","",""
"","foreign  exchange  by 
the","licensed  banks 
to 
the","","","","",""
"","","","Trade Balance","-9.2","-6.7","",""
"","","","","","","",""
"","Central Bank. With the envisaged macroeconomic","","Goods and Services (net)","-7.4","-4.0","",""
"","","","Current Account Balance","-3.7","-1.9","",""
"","stability  and  easing  of  BOP  pressures,  external","","Current and Capital Account (net)","-3.7","-1.9","",""
"","","","(a) Revised","","","Source: Central Bank of Sri Lanka",""
"","sector  activity, 
including","trade 
in  goods  and","(b) Provisional","","","",""
"","","","(c) Refer Table 5.12 for the derivation of overall","","","",""
"","services,  and  workers’  remittances  is  expected  to","","balance","","","",""
