"","","Monetary Aggregates","","Net Foreign Assets","","","","","","","","","","","","","","","Money"
"June","1,001,851","7,604,127","824,638","-414,574","410,064","557,283","607","556,676","2,654,581","91,008","2,563,572","534,059","5,386,322","9,040,629","612,267","1,234,299","1,846,566","868,953  1.15","8.75"
"July","1,024,589","7,717,772","785,202","-460,093","325,109","550,728","712","550,016","2,853,030","97,451","2,755,579","556,995","5,383,850","9,246,439","566,719","1,287,057","1,853,776","878,832  1.17","8.78"
"August","1,058,461","7,858,436","822,435","-490,870","331,565","535,379","815","534,564","2,914,932","108,775","2,806,157","581,135","5,462,837","9,384,693","588,893","1,268,929","1,857,822","879,828  1.20","8.93"
"September","1,057,364","8,027,070","758,552","-461,939","296,612","578,351","604","577,747","3,007,564","98,932","2,908,632","584,928","5,560,804","9,632,111","560,933","1,340,720","1,901,654","891,389  1.19","9.01"
"October","1,085,734","8,166,461","574,153","-468,860","105,293","735,896","709","735,187","3,145,513","103,104","3,042,409","572,400","5,626,080","9,976,076","498,535","1,416,374","1,914,909","928,388  1.17","8.80"
"November","1,094,981","8,264,614","540,147","-502,156","37,991","800,423","923","799,500","3,174,282","105,800","3,068,482","587,484","5,675,209","10,130,676","524,715","1,379,337","1,904,052","936,257  1.17","8.83"
"December","1,177,150","8,495,788","526,779","-472,573","54,206","870,322","1,430","868,892","3,323,967","120,274","3,203,694","584,274","5,748,117","10,404,976","560,832","1,402,561","1,963,393","964,440  1.22","8.81"
"2021 January","1,183,134","8,600,019","417,927","-508,470","-90,542","925,704","1,386","924,317","3,507,269","112,233","3,395,036","611,189","5,756,203","10,686,746","497,447","1,498,737","1,996,184","975,897  1.21","8.81"
"February","1,199,944","8,706,198","393,859","-517,407","-123,548","997,022","563","996,460","3,473,682","114,509","3,359,173","619,593","5,828,486","10,803,712","537,493","1,436,473","1,973,966","978,090  1.23","8.90"
"March","1,232,814","8,860,584","341,034","-527,622","-186,588","1,093,239","1,044","1,092,195","3,527,503","116,502","3,411,001","631,763","5,926,001","11,060,961","532,570","1,481,219","2,013,789","1,028,599  1.20","8.61"
"April","1,244,200","8,944,644","342,923","-557,052","-214,130","1,071,408","860","1,070,547","3,568,293","113,766","3,454,527","648,935","5,981,867","11,155,877","502,351","1,494,751","1,997,103","1,031,144  1.21","8.67"
"May","1,246,551","9,016,772","349,094","-555,935","-206,841","1,055,456","845","1,054,612","3,628,664","108,471","3,520,193","650,602","6,029,091","11,254,498","483,338","1,547,546","2,030,885","1,036,010  1.20","8.70"
"June","1,293,330","9,136,220","306,556","-545,951","-239,395","1,179,684","827","1,178,858","3,623,790","120,493","3,503,298","656,041","6,100,336","11,438,533","535,300","1,527,617","2,062,918","1,065,064  1.21","8.58"
"July","1,316,960","9,269,581","10,254","-489,158","-478,904","1,419,031","1,027","1,418,004","3,688,537","122,945","3,565,592","653,682","6,163,141","11,800,418","485,425","1,566,508","2,051,933","1,063,866  1.24","8.71"
"August","1,355,196","9,412,401","-83,881","-439,899","-523,780","1,535,403","994","1,534,409","3,707,843","123,140","3,584,702","656,302","6,267,097","12,042,510","483,348","1,622,982","2,106,330","1,089,266  1.24","8.64"
"September","1,318,748","9,448,987","-158,710","-466,669","-625,379","1,831,990","1,126","1,830,865","3,504,140","130,305","3,373,834","650,746","6,333,794","12,189,240","675,743","1,439,131","2,114,873","1,295,956  1.02","7.29"
"October","1,372,671","9,535,950","-252,574","-624,671","-877,245","1,881,539","1,393","1,880,145","3,557,536","139,782","3,417,755","832,708","6,358,454","12,489,062","639,961","1,435,906","2,075,867","1,286,441  1.07","7.41"
"November","1,355,117","9,510,655","-329,911","-643,307","-973,218","1,995,006","1,307","1,993,699","3,474,186","142,645","3,331,541","897,440","6,420,118","12,642,797","694,363","1,464,562","2,158,925","1,287,803  1.05","7.39"
"December","1,459,895","9,638,905","-387,263","-686,342","-1,073,604","2,095,481","1,387","2,094,095","3,531,443","170,103","3,361,340","972,821","6,498,862","12,927,118","701,728","1,512,881","2,214,608","1,305,809  1.12","7.38"
"","(a) M2 is based on aggregated data pertaining to the Central Bank and Domestic Banking Units (DBUs) of commercial banks","","","","","","","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
