"","","Key Socio-Economic Indicators by Sector","","","","","","","","","",""
"Per Household","42,267","29,376","24,087","30,814","57,833","42,133","29,134","43,511","74,679","50,869","40,771","53,333"
"Per Person","10,420","7,657","5,503","7,881","14,090","11,140","7,107","11,307","19,143","13,610","9,883","14,095"
"Income Shares by Deciles of Households, %","","","","","","","","","","","",""
"1st Decile","1.5","1.5","1.9","1.5","1.7","1.6","2.1","1.6","1.5","1.6","1.6","2.0"
"2nd Decile","2.8","3.2","3.7","3.0","3.1","3.3","3.8","3.2","3.1","3.0","3.2","3.8"
"3rd Decile","3.7","4.4","5.1","4.1","4.1","4.5","5.3","4.3","4.2","3.9","4.4","5.5"
"4th Decile","4.6","5.4","6.4","5.1","5.0","5.5","6.6","5.3","5.3","4.8","5.5","6.7"
"5th Decile","5.6","6.5","7.4","6.2","5.8","6.7","7.8","6.4","6.4","5.8","6.7","8.0"
"6th Decile","6.7","7.7","8.7","7.3","7.2","7.9","9.0","7.6","7.6","7.1","8.0","9.4"
"7th Decile","8.3","9.2","9.9","8.9","8.9","9.5","10.6","9.2","9.2","8.5","9.6","10.7"
"8th Decile","10.3","11.4","11.8","10.9","10.7","11.7","12.5","11.5","11.3","10.7","11.7","12.3"
"9th Decile","14.5","15.1","14.8","14.9","14.8","15.6","15.8","15.4","15.1","14.7","15.4","15.0"
"10th Decile","42.0","35.6","30.3","38.0","38.6","33.7","26.7","35.4","36.2","39.7","34.0","26.6"
"Income Share by Households, %","","","","","","","","","","","",""
"Richest 20%","56.5","50.7","45.1","52.9","53.4","49.3","42.5","50.8","54.5","49.3","41.6","51.4"
"Poorest 20%","4.4","4.7","5.7","4.5","4.9","4.9","5.9","4.8","4.7","4.8","5.8","4.6"
"Middle 60%","39.2","44.6","49.3","42.6","41.7","45.8","51.6","44.4","40.8","45.9","52.7","44.0"
"Gini Coefficient, One Month Income","","","","","","","","","","","",""
"Gini Coefficient (Households)","0.51","0.45","0.39","0.48","0.48","0.44","0.36","0.45","0.49","0.44","0.36","0.46"
"Gini Coefficient (Per Person)","0.51","0.44","0.37","0.46","0.48","0.42","0.34","0.44","0.48","0.41","0.33","0.44"
"Gini Coefficient (Income Receivers)","0.56","0.51","0.44","0.53","0.53","0.50","0.42","0.51","0.54","0.50","0.41","0.52"
"Expenditure, Rs. per Month","","","","","","","","","","","",""
"Per Household","58,930","38,274","29,379","41,444","77,337","51,377","34,851","54,999","95,392","57,652","38,519","63,130"
"Household Expenditure Share, %","","","","","","","","","","","",""
"Food","32.1","39.2","49.8","37.8","31.2","35.4","48.5","34.8","28.2","36.9","50.9","35.1"
"Housing","17.5","9.4","5.0","11.3","18.9","10.7","6.0","12.5","19.2","12.1","9.5","13.8"
"Fuel and Light","5.5","3.8","4.1","4.2","3.9","3.0","3.5","3.2","3.4","3.2","3.7","3.3"
"Personal Care and Health Expenses","5.3","5.3","3.5","5.3","4.5","4.7","3.1","4.6","4.5","4.2","3.0","4.2"
"Transport","8.9","8.1","5.6","8.3","9.3","7.8","5.4","8.1","7.5","7.5","4.9","7.4"
"Communication","2.7","2.0","1.7","2.2","2.2","1.9","1.7","2.0","2.2","1.7","1.4","1.8"
"Education","4.7","3.2","1.8","3.5","4.6","3.5","2.5","3.8","4.3","3.7","2.5","3.8"
"Cultural Activities and Entertainments","1.4","1.2","1.0","1.2","1.9","1.6","0.9","1.7","2.1","1.3","0.7","1.5"
"Non-Durable Household Goods and Services","1.6","1.1","1.1","1.2","1.5","1.0","0.9","1.2","1.7","1.0","1.0","1.2"
"Clothing Textile and Footwear","2.4","3.0","3.0","2.9","2.5","3.0","3.7","2.9","2.2","2.8","3.6","2.7"
"Durable Household Goods","1.5","2.8","2.3","2.5","3.1","4.5","2.5","4.1","7.4","7.2","4.3","7.1"
"Other Miscellaneous Expenses","9.2","11.5","10.1","10.9","7.8","11.9","9.7","10.8","9.7","10.1","5.9","9.9"
"Other Rare Expenses","6.4","7.5","5.7","7.2","7.1","9.1","6.1","8.6","6.6","6.7","2.7","6.6"
"Liquor, Narcotic Drugs and Tobacco","1.0","1.8","5.4","1.7","1.4","2.0","5.5","1.9","1.1","1.5","6.0","1.5"
"","","","","","","","","","","Source : Department of Census and Statistics","",""
