"","","","","","Exports","","","","","","","","","Prices (a)","","",""
"2020  
 
January","277","827","257","1,361","83","325","83","491","3","360.62","1.99","326.46","319.00","351.43","348.67","255.71","1.68"
"February","387","850","396","1,634","113","333","122","568","3","347.90","1.92","301.25","-","351.00","349.08","247.27","1.61"
"March","190","334","201","725","55","140","56","251","1","346.09","1.87","300.00","-","351.75","354.63","242.00","1.50"
"April","40","483","182","705","12","223","68","304","2","430.37","2.23","-","-","330.67","333.00","201.00","1.33"
"May","215","502","230","948","58","206","76","340","2","358.87","1.91","-","-","330.00","320.50","191.17","1.35"
"June","432","834","267","1,533","113","337","88","537","3","350.29","1.88","-","-","300.00","297.00","193.50","1.40"
"July","671","602","501","1,773","183","212","143","538","3","303.45","1.63","-","270.00","298.00","293.00","218.60","1.48"
"August","207","353","286","846","58","133","86","277","1","327.67","1.77","-","292.50","332.00","331.13","259.75","1.70"
"September","199","587","344","1,130","58","217","108","382","2","337.89","1.83","323.00","-","355.00","354.50","291.00","1.86"
"October","341","410","519","1,271","109","165","167","441","2","347.08","1.88","362.67","330.00","399.25","385.60","283.50","2.19"
"November","592","472","607","1,672","203","196","190","589","3","352.34","1.91","406.88","417.00","447.17","445.33","336.33","2.30"
"December","767","761","641","2,169","279","374","208","861","5","396.89","2.12","440.00","-","462.17","458.33","360.00","2.33"
"2021 (b) January","260","823","639","1,722","97","443","210","749","4","435.09","2.28","458.50","444.00","496.48","495.50","364.00","2.30"
"February","315","564","259","1,139","118","306","105","529","3","464.69","2.39","444.33","426.00","602.25","597.25","366.67","2.35"
"March","480","1,042","784","2,306","182","628","282","1,092","6","473.47","2.40","426.50","420.00","510.00","505.00","381.67","2.37"
"April","152","624","432","1,208","64","395","170","629","3","520.67","2.64","428.00","420.00","545.00","542.67","396.67","2.15"
"May","211","432","111","754","84","293","72","450","2","596.16","2.99","453.50","448.33","628.33","617.67","425.00","2.29"
"June","80","541","282","904","31","354","143","528","3","584.36","2.92","467.00","-","629.50","624.75","438.50","2.12"
"July","165","725","183","1,073","69","503","78","650","3","605.56","3.03","454.50","450.00","640.00","636.50","412.63","1.87"
"August","593","592","219","1,405","233","403","113","749","4","533.15","2.66","456.50","443.50","665.00","662.00","412.75","1.90"
"September","552","866","475","1,892","221","623","204","1,047","5","553.55","2.74","462.50","455.00","683.50","681.53","431.60","1.79"
"October","266","685","166","1,117","98","468","77","642","3","574.86","2.86","488.00","476.00","697.50","694.25","449.00","1.87"
"November","183","641","209","1,033","67","503","94","663","3","641.76","3.18","515.00","-","721.67","714.67","446.75","1.93"
"December","76","729","133","937","29","556","63","648","3","691.79","3.43","475.00","487.00","696.58","690.00","412.20","1.92"
"(a) Prices in rupee terms also include the impact of exchange rate movements.","","","","","","","","","","","","","","Sources:  The Ceylon Chamber of Commerce","","",""
