"","","","","","","","","","","","","","","2010=100"
"July","194.2","273.0","230.9","129.9","215.0","74.5","281.1","198.9","180.0","231.5","58.9","226.1","192.7","190.3"
"August","157.5","208.7","181.3","159.7","210.9","67.3","246.5","340.4","192.9","260.6","30.2","195.9","191.6","188.6"
"September","185.9","241.0","211.5","138.2","226.2","120.4","301.2","449.3","215.5","377.6","77.0","223.2","266.7","223.3"
"October","181.8","218.9","199.0","143.8","236.0","183.1","270.2","177.6","198.8","267.8","75.2","208.5","208.5","199.0"
"November","184.7","223.0","202.5","115.4","234.8","547.2","300.0","210.0","199.4","293.5","100.4","187.8","220.3","202.4"
"December","237.4","292.7","263.1","153.6","257.9","251.7","313.7","313.6","213.5","313.7","55.7","253.2","240.0","226.2"
"2021 (b)  January","280.9","284.0","282.4","206.0","264.3","39.8","342.6","52.3","229.8","327.5","87.2","215.8","242.2","240.0"
"February","205.2","252.1","227.0","216.9","253.6","120.0","306.5","430.9","242.1","298.5","71.5","223.5","227.0","234.0"
"March","299.8","344.8","320.7","238.7","290.0","141.6","438.5","244.9","293.5","429.2","122.7","271.6","315.9","300.3"
"April","195.7","282.2","235.9","284.7","264.6","412.2","362.9","211.1","279.9","357.1","94.9","250.2","268.5","266.8"
"May","193.8","243.9","217.1","230.3","276.0","114.7","411.2","165.9","275.1","290.2","83.3","260.7","236.9","253.9"
"June","264.6","400.0","327.6","46.2","324.4","19.6","415.6","348.2","221.1","428.6","166.9","306.3","335.8","262.4"
"July","189.2","414.3","294.0","178.7","294.8","49.2","347.3","210.4","259.0","368.1","160.7","270.7","295.2","270.7"
"August","191.7","379.0","278.9","246.8","283.9","8.3","327.7","440.8","267.0","356.4","106.4","252.5","271.6","267.7"
"September","177.9","374.1","269.2","141.7","310.7","3.8","324.1","206.1","226.0","363.6","153.8","251.9","285.2","244.0"
"October","157.6","252.0","201.5","270.2","313.6","138.3","320.2","563.1","300.3","327.9","63.9","269.3","253.5","269.7"
"November","220.1","316.1","264.8","224.4","352.1","12.3","351.6","214.9","270.8","395.5","236.2","314.6","337.3","282.0"
"December","276.7","460.5","362.2","311.0","352.0","328.3","410.6","243.5","363.4","491.8","75.0","322.7","351.4","357.3"
"","(a) The value index is computed as a simple index of the ratio of rupee values between the current period and the base period.","","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
