"","","","Treasury Bills","","","","","","Treasury Bonds (d)","","","","","","","Outright","Repo","","Outright","","","Repo","","Treasury Bills","","","","Treasury Bonds","","",""
"2020 (f)","January","7.51","8.15","8.59","-","9.39","-","9.27","-","-","9.40","-","9.99","-","92,543","73,099","154,995","6,214","47,522","61,752","248,951","85,099","7.54","8.12","8.54","8.70","9.14","9.37","9.57","9.89","-"
"","February","7.42","8.06","8.58","-","-","-","-","-","-","-","-","-","-","81,879","76,945","205,678","7,107","57,797","50,106","226,429","64,092","7.45","8.04","8.56","8.90","9.33","9.54","9.73","10.00","-"
"","March","7.00","7.25","7.50","-","9.33","9.81","-","-","-","9.99","-","-","-","66,158","69,628","131,989","3,008","58,798","46,955","248,633","56,671","7.27","7.80","8.28","8.71","9.19","9.45","9.70","9.97","-"
"","April","6.75","6.80","7.00","-","8.14","8.70","8.75","-","8.88","-","-","-","-","90,510","46,499","146,194","8,145","57,640","58,135","427,919","73,839","6.72","6.90","7.19","7.66","8.23","8.52","8.81","9.24","-"
"","May","6.69","6.82","6.93","-","8.05","-","-","-","-","8.85","-","-","-","105,775","103,745","70,294","1,297","146,363","101,577","384,939","100,480","6.64","6.76","6.92","7.35","8.00","8.36","8.56","9.05","-"
"","June","5.50","5.53","5.66","5.86","-","-","8.59","8.59","6.97","-","-","-","-","84,394","83,281","89,974","1,088","116,045","113,606","372,919","119,602","5.60","5.73","5.93","5.96","6.38","6.82","7.12","7.57","-"
"","July","4.59","4.68","4.86","5.73","-","-","6.50","6.57","7.05","-","-","-","-","151,358","117,095","194,172","1,721","136,298","132,136","467,355","102,477","4.61","4.69","4.88","5.32","5.85","6.19","6.53","7.21","-"
"","August","4.56","4.68","4.89","-","-","-","-","-","-","-","-","-","-","99,042","77,109","88,504","259","73,983","78,354","459,624","102,703","4.58","4.69","4.85","5.32","5.75","6.06","6.39","7.25","-"
"","September","4.51","4.64","4.89","5.65","5.72","-","6.59","-","-","7.07","-","-","-","140,555","85,987","108,507","3,747","95,525","87,143","471,369","181,085","4.57","4.68","4.89","5.43","5.94","6.31","6.69","7.36","-"
"","October","4.57","4.69","4.96","-","-","-","-","-","-","-","-","-","-","76,265","66,342","85,395","1,390","57,053","56,560","364,077","150,599","4.54","4.66","4.89","5.37","5.75","6.06","6.38","7.27","-"
"","November","4.64","4.76","5.00","-","-","6.32","-","-","7.01","-","-","-","-","59,786","32,473","83,989","1,389","49,595","44,596","368,461","119,982","4.63","4.73","4.96","5.52","6.04","6.36","6.59","7.49","-"
"","December","4.69","4.80","5.05","-","5.99","-","6.79","-","-","-","-","-","7.84","139,450","120,996","103,392","1,556","67,238","52,093","455,142","123,768","4.64","4.73","4.98","5.54","5.98","6.40","6.64","7.56","-"
"2021(f)","January","4.69","4.75","4.98","-","-","6.34","6.72","7.16","7.39","-","-","-","-","133,658","123,402","89,698","2,455","48,107","58,162","252,157","128,671","4.64","4.73","4.94","5.29","5.73","6.24","6.51","7.47","-"
"","February","4.90","4.99","5.09","-","6.25","6.70","7.07","-","7.57","-","-","-","-","78,382","111,412","85,959","773","47,205","49,528","215,737","120,247","4.77","4.85","5.06","5.54","6.11","6.65","6.94","7.82","-"
"","March","5.05","5.10","5.11","6.19","6.30","-","7.05","7.44","7.58","-","-","-","-","130,187","132,244","95,574","1,032","107,349","72,771","295,954","116,680","4.96","5.02","5.12","5.70","6.21","6.57","6.89","8.03","-"
"","April","5.11","5.14","5.18","6.50","-","-","7.25","-","7.70","-","-","-","8.44","85,689","80,489","63,590","1,959","29,676","22,250","144,172","18,706","5.05","5.09","5.15","5.85","6.43","6.77","7.13","8.04","-"
"","May","5.13","5.14","5.18","-","-","7.04","-","-","7.97","-","-","-","-","115,838","107,538","55,525","1,346","50,850","40,865","198,402","52,207","5.06","5.11","5.17","5.84","6.42","6.84","7.31","8.10","-"
"","June","5.18","5.19","5.23","6.35","-","7.30","7.31","-","7.99","-","-","-","-","125,612","113,989","80,702","2,622","81,581","32,391","210,676","59,053","5.10","5.13","5.19","5.86","6.46","6.92","7.31","8.20","-"
"","July","5.22","5.23","5.25","6.36","6.87","7.47","-","-","8.17","-","-","8.86","-","142,206","142,388","62,367","2,035","65,346","49,296","152,752","69,243","5.14","5.16","5.22","5.91","6.52","7.05","7.38","8.26","-"
"","August","5.87","5.90","5.93","6.75","-","8.55","-","-","-","-","-","-","-","106,772","79,816","62,631","9,720","123,005","58,231","306,177","75,481","5.60","5.65","5.74","6.46","7.52","8.01","8.29","9.14","-"
"","September","6.70","6.99","7.01","8.12","8.10","-","-","-","-","-","10.23","-","-","113,755","99,562","90,797","9,601","55,417","35,355","246,950","132,184","6.31","6.34","6.46","7.36","8.20","8.91","9.33","10.15","-"
"","October","8.43","8.16","8.18","9.36","9.94","-","11.14","-","11.61","-","-","-","11.23","172,449","142,155","80,544","16,049","64,478","52,342","220,711","73,046","8.00","8.06","8.33","8.89","9.61","10.25","10.81","11.43","-"
"","November","7.53","8.02","8.16","9.16","9.67","-","-","-","-","11.63","11.91","-","-","241,166","189,753","105,608","3,868","54,915","55,534","315,521","23,353","7.57","7.91","8.25","8.57","9.31","5.08","10.56","11.61","-"
"","December","8.16","8.33","8.24","-","9.70","-","-","10.90","11.27","-","11.61","-","12.06","311,812","263,723","234,291","10,267","122,555","108,965","664,588","19,404","7.56","8.00","8.18","8.60","9.60","10.38","10.70","11.79","-"
"","(a) Secondary market information is based on data provided by primary dealers in Government Securities.","","","","","","","","","","","","","","","","","","","","","","","","","","Source: Central Bank of Sri Lanka","","","",""
