"","","","","","","","","","","","","","Premium","Differential",""
"2021 (b)   1st    Quarter","587.8","473.5","448.8","1,510.0","962.3","808.0","198.4","54.2","169.4","2,192.2","3,702.2","2.7","-2.9","4.0","4.6"
"2nd  Quarter","744.3","391.4","450.9","1,586.6","714.3","652.8","158.5","84.0","136.4","1,745.9","3,332.5","-7.9","-6.2","4.1","5.0"
"3rd   Quarter","437.1","250.7","515.9","1,203.8","431.3","220.9","116.5","115.5","157.0","1,041.2","2,245.0","4.2","-3.5","4.8","5.5"
"4th   Quarter","415.5","413.9","722.0","1,551.5","741.4","217.8","45.0","213.3","111.5","1,328.9","2,880.3","-12.4","-8.6","5.2","7.5"
"2020       January","599.7","194.6","324.2","1,118.5","231.5","172.5","78.0","84.0","100.5","666.5","1,785.0","3.5","3.4","5.0","5.7"
"February","465.4","146.7","288.8","900.8","127.1","146.7","11.0","95.3","83.0","463.1","1,363.8","3.4","3.5","4.6","5.7"
"March","397.9","202.7","208.0","808.6","324.6","211.8","81.0","119.5","94.0","830.9","1,639.5","1.9","2.2","5.2","6.1"
"April","227.0","89.5","50.0","366.5","259.8","290.2","35.0","19.0","119.8","723.7","1,090.2","4.7","-0.8","5.2","5.7"
"May","344.8","118.2","96.3","559.2","123.4","161.6","58.0","20.0","105.3","468.2","1,027.4","1.6","6.9","5.2","6.4"
"June","647.0","211.5","293.2","1,151.7","229.4","205.3","86.1","73.3","162.3","756.3","1,907.9","0.8","0.9","5.0","6.0"
"July","645.4","177.4","333.2","1,155.9","228.2","215.8","147.8","45.0","90.7","727.5","1,883.4","0.2","0.4","4.1","4.5"
"August","590.1","132.5","266.6","989.2","129.4","199.1","50.4","73.8","126.0","578.6","1,567.9","0.4","0.9","3.9","4.4"
"September","650.4","194.2","350.2","1,194.7","107.1","190.0","71.2","56.7","84.2","509.2","1,703.9","0.4","0.7","3.9","4.3"
"October","659.2","279.9","260.2","1,199.3","162.2","245.0","104.1","104.9","180.0","796.1","1,995.5","0.8","0.5","3.9","4.3"
"November","338.7","162.9","138.1","639.7","291.6","150.9","103.7","70.4","117.2","733.8","1,373.5","0.8","0.5","3.9","4.4"
"December","159.8","85.0","115.6","360.4","339.2","200.6","79.2","61.9","29.0","709.9","1,070.3","-2.1","-1.1","3.9","4.4"
"2021 (b)  January","178.4","74.7","94.0","347.1","349.9","215.0","102.6","25.7","38.9","732.1","1,079.2","13.0","2.4","4.0","4.5"
"February","192.0","142.3","166.9","501.1","208.1","267.3","35.5","5.0","15.5","531.3","1,032.4","-0.2","-4.2","4.0","4.6"
"March","217.4","256.5","187.9","661.8","404.3","325.7","60.3","23.5","115.0","928.8","1,590.6","-2.9","-6.0","4.0","4.8"
"April","213.8","149.3","126.2","489.4","274.7","292.5","52.0","3.8","13.0","636.0","1,125.3","-0.5","-4.0","4.1","4.9"
"May","263.4","118.1","114.9","496.4","208.4","184.3","61.5","20.2","60.0","534.3","1,030.7","-10.9","-7.1","4.1","5.0"
"June","267.0","124.0","209.9","600.9","231.3","176.0","45.0","60.1","63.4","575.7","1,176.5","-11.9","-7.2","4.2","5.0"
"July","232.0","116.8","266.6","615.4","230.0","126.9","93.5","84.4","42.8","577.5","1,192.9","-6.8","-6.8","4.4","5.1"
"August","66.0","47.0","98.5","211.5","93.4","43.0","16.0","18.1","23.0","193.6","405.1","14.2","-2.1","4.7","5.3"
"September","139.2","86.9","150.8","377.0","107.9","51.0","7.0","13.0","91.3","270.2","647.1","4.1","-1.9","5.3","6.0"
"October","146.5","80.1","180.4","407.0","146.9","73.0","0.0","90.5","59.0","369.4","776.4","-2.6","0.9","5.2","7.6"
"November","160.0","218.7","275.5","654.1","331.4","76.8","32.0","63.0","22.0","525.2","1,179.3","-6.0","-3.2","5.2","7.7"
"December","109.1","115.2","266.2","490.4","263.1","68.0","13.0","59.8","30.5","434.3","924.7","-26.2","-21.1","5.2","7.2"
"","","","","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
"","(a)    Annualised Forward Premium (fd) is computed using the following formula:","","","","","","","","","","","","","",""
