"","Composition of Imports according to the SITC (a)","","","","","","",""
"28 Metalliferous Ores and Metal Scrap","1,822","2,723","2,137","3,985","11","15","12","20"
"29 Crude Animal and Vegetable Materials, n.e.s.","7,590","7,509","8,641","8,800","47","42","47","44"
"3. Mineral Fuels, Lubricants and Related Materials","674,294","695,727","469,673","743,663","4,152","3,892","2,543","3,743"
"32 Coal, Coke and Briquettes","38,750","38,719","40,194","55,118","237","215","217","278"
"33 Petroleum, Petroleum Products and Related Materials","595,254","613,302","378,197","619,569","3,667","3,433","2,049","3,118"
"34 Gas, Natural and Manufactured","40,290","43,706","51,281","68,976","248","244","277","347"
"4. Animal and Vegetable Oils, Fats and Waxes","29,714","19,903","36,163","56,530","185","111","195","285"
"41 Animal Oils and Fats","655","351","259","454","4","2","1","2"
"42 Fixed Vegetable Fats and Oils, Crude, Refined or Fractionated","27,781","18,487","34,525","51,993","173","103","187","262"
"43 Animal or Vegetable Fats and Oils, Processed; Waxes of Animal or Vegetable Origin;","","","","","","","",""
"","1,278","1,065","1,378","4,083","8","6","7","21"
"Inedible Mixtures or Preparations of Animal or Vegetable Fats or Oils, n.e.s.","","","","","","","",""
"5. Chemicals and Related Products, n.e.s.","385,880","395,214","406,898","566,732","2,372","2,211","2,192","2,848"
"51 Organic Chemicals","36,115","34,025","35,918","52,118","223","190","193","262"
"52 Inorganic Chemicals","27,143","25,420","23,648","37,241","167","142","127","187"
"53 Dyeing, Tanning and Colouring Material","27,192","28,223","26,359","37,107","167","158","142","187"
"54 Medicinal and Pharmaceutical Products","78,228","90,048","101,953","164,317","481","504","549","823"
"55 Essential Oils, Resinoids, Perfume Materials; Toilet, Polishing and Cleansing Preparations","19,647","21,431","21,116","26,810","121","120","114","135"
"56 Fertilisers","42,618","39,542","48,174","31,297","261","221","259","158"
"57 Plastics in Primary Forms","75,935","76,141","68,247","111,559","467","426","368","561"
"58 Plastics in Non-Primary Forms","32,324","30,231","26,709","34,466","198","169","144","173"
"59 Chemical Materials and Products, n.e.s.","46,678","50,153","54,772","71,818","287","280","295","361"
"6. Manufactured Goods Classified Chiefly by Material","959,928","1,042,450","828,966","1,189,644","5,896","5,829","4,474","5,977"
"61 Leather, Leather Manufactures, n.e.s., and Dressed Furskins","2,639","2,766","2,358","1,850","16","15","13","9"
"62 Rubber Manufactures, n.e.s.","22,900","23,287","17,723","30,746","141","130","96","155"
"63 Cork and Wood Manufactures","6,892","6,057","5,342","6,970","43","34","29","35"
"64 Paper, Paperboard and Articles of Paper Pulp, of Paper or of Paperboard","82,638","78,106","68,203","87,913","508","437","368","442"
"65 Textile Yarn, Fabrics, Made-up Articles, n.e.s., and Related Products","452,706","500,848","418,279","598,435","2,781","2,800","2,258","3,008"
"66 Non-metallic Mineral Manufactures, n.e.s.","121,484","146,765","96,271","104,487","748","821","520","525"
"67 Iron and Steel","155,317","142,879","116,070","213,829","950","799","625","1,071"
"68 Non-ferrous Metals","38,948","36,328","32,345","51,981","239","203","174","262"
"69 Manufactures of Metals, n.e.s.","76,405","105,415","72,375","93,432","470","590","391","470"
"7. Machinery and Transport Equipment","847,658","767,544","594,094","770,840","5,233","4,292","3,204","3,876"
"71 Power-generating Machinery and Equipment","40,258","35,176","49,224","48,288","249","197","266","243"
"72 Machinery Specialised for Particular Industries","92,910","84,236","80,440","129,644","574","471","434","652"
"73 Metalworking Machinery","6,074","5,442","4,194","6,072","37","30","23","31"
"74 General Industrial Machinery and Equipment and Machine Parts, n.e.s.","90,839","114,376","95,429","119,045","561","639","515","599"
"75 Office Machines and Automatic Data-processing Machines","41,809","40,470","40,677","70,583","257","226","219","355"
"76 Telecommunications and Sound-recording and Reproducing Apparatus and Equipment","106,312","104,506","97,657","156,073","654","585","527","785"
"77 Electrical Machinery, Apparatus and Appliances, n.e.s. and Electrical Parts Thereof","97,761","121,088","104,524","149,197","603","677","564","750"
"78 Road Vehicles","353,243","231,207","104,129","65,078","2,185","1,293","561","328"
"79 Other Transport Equipment","18,451","31,043","17,821","26,861","113","174","95","134"
"8. Miscellaneous Manufactured Articles","180,190","181,052","146,258","189,601","1,112","1,012","790","953"
"81 Prefabricated Buildings; Sanitary, Plumbing, Heating, Lighting Fixtures and Fittings, n.e.s.","9,800","12,111","9,651","12,529","60","68","52","63"
"82 Furniture and Parts Thereof; Bedding, Mattresses, Mattress Supports, Cushions and","","","","","","","",""
"","5,222","5,349","3,493","4,145","32","30","19","21"
"Similar Stuffed Furnishings","","","","","","","",""
"83 Travel Goods, Handbags and Similar Containers","1,439","1,503","587","912","9","8","3","5"
"84 Articles of Apparel and Clothing Accessories","42,103","42,567","31,881","37,795","259","238","172","190"
"85 Footwear","6,310","5,427","3,952","3,641","39","30","21","18"
"87 Professional, Scientific and Controlling Instruments and Apparatus, n.e.s.","33,236","41,099","34,536","47,289","204","230","187","238"
"88 Photographic Apparatus, Equipment and Supplies and Optical Goods, n.e.s.;","","","","","","","",""
"","7,889","8,018","7,604","10,156","48","45","41","51"
"Watches and Clocks","","","","","","","",""
"89 Miscellaneous Manufactured Articles, n.e.s.","74,191","64,978","54,553","73,135","459","363","295","368"
"9. Commodities and Transactions Not Classified Elsewhere in SITC","71,644","3,563","3,434","3,683","461","20","19","18"
"91 Postal Packages Not Classified according to Kind","32","57","16","29","…","…","…","…"
"93 Special Transactions and Commodities Not Classified according to Kind","2,492","903","1,764","3,365","16","5","10","17"
"96 Coin, Not being Legal Tender","1,029","2,147","56","55","6","12","…","…"
"97 Gold, Non-monetary (excluding Gold Ores and Concentrates)","68,091","456","1,598","234","439","3","9","1"
"Total Imports","3,606,644","3,565,028","2,974,915","4,104,218","22,233","19,937","16,055","20,637"
"(a) Data is compiled based on the latest version of SITC - Revision 4 published in 2006.","","","","","","","Sources: Ceylon Petroleum Corporation",""
