"","","","Treasury Bills","","","","","","Treasury Bonds (d)","","","","","","","Outright","Repo","","","Outright","","","","Treasury Bills","","","","Treasury Bonds","","",""
"","February","8.61","8.53","8.53","-","12.25","-","11.92","-","-","-","-","12.70","13.14","306,749","260,454","179,118","5,045","62,145","60,754","374,960","23,504","8.41","8.55","8.73","9.49","10.57","11.23","11.63","12.36","-"
"","March","12.92","12.25","12.28","14.41","-","-","14.70","-","-","-","-","15.42","-","233,321","224,786","308,495","3,485","63,958","51,929","603,864","11,068","11.69","11.84","12.17","13.09","14.44","14.71","14.78","15.43","-"
"","April","23.53","23.96","24.09","-","22.01","-","22.16","-","-","-","-","-","-","209,675","175,521","322,859","4,923","8,874","12,758","497,319","10,817","20.83","21.71","22.41","19.46","19.87","20.60","21.27","21.29","-"
"","May","23.65","24.22","24.30","-","22.38","-","22.69","21.86","-","-","-","-","-","277,477","270,404","253,916","19,109","58,353","48,230","532,356","10,970","21.30","22.17","22.76","20.73","21.25","21.48","21.38","21.71","-"
"","June","23.85","24.40","23.84","-","23.77","-","21.18","20.19","-","-","20.74","-","-","392,441","361,013","247,461","26,933","97,753","89,626","1,057,389","15,765","19.94","20.80","21.18","20.97","21.87","22.29","21.32","21.24","-"
"","July","28.86","29.24","29.53","-","28.45","-","-","-","26.51","-","23.91","-","-","289,354","239,426","199,138","5,313","124,675","106,165","1,620,509","11,724","26.34","26.51","27.11","22.05","23.67","22.74","23.10","26.28","-"
"","August","32.89","31.28","30.50","-","29.16","-","-","-","26.91","-","29.52","-","-","342,190","336,217","224,798","4,371","54,582","56,256","4,018,036","18,043","28.25","27.46","28.34","23.24","25.84","24.75","24.62","25.31","-"
"","September","31.94","30.59","29.85","-","30.95","-","31.50","-","-","-","-","30.09","-","221,174","227,712","148,153","5,783","96,836","111,027","3,972,662","13,209","29.76","28.66","28.55","23.36","25.84","25.15","25.22","26.10","-"
"","October","33.05","32.53","29.60","-","32.63","-","31.78","-","30.85","-","-","-","-","187,063","176,134","119,419","5,233","143,334","205,774","2,189,684","14,092","30.68","29.63","28.42","25.33","27.68","26.46","26.59","27.71","-"
"","November","32.91","32.27","29.46","32.71","31.69","-","-","-","-","-","-","30.86","-","330,948","310,512","161,184","5,647","62,112","55,150","2,167,881","17,307","31.33","29.56","28.31","27.16","28.07","28.24","27.26","27.22","-"
"","December","32.64","32.20","29.27","33.01","31.36","-","-","-","-","-","-","-","-","289,354","239,426","199,138","5,313","124,675","106,165","1,620,509","11,724","26.34","26.51","27.11","22.05","23.67","22.74","23.10","26.28","-"
"","(a) Secondary market information is based on data provided by primary dealers in Government Securities.","","","","","","","","","","","","","","","","","","","","","","","","","","Source: Central Bank of Sri Lanka","","","",""
