"Public Corporations and Institutions","2013","2014","2015","2016","2017","2018","2019 (a)","2020 (a)","2021","2022 (b)"
"TRANSPORT AND COMMUNICATIONS","131,409.8","129,949.6","180,813.9","150,580.7","195,317.2","175,077.2","159,348.2","227,789.7","206,812.4","194,829.3"
"National Transport Commission","48.5","137.0","151.0","48.9","44.0","3.3","-","-","-","-"
"Road Development Authority","130,084.8","127,657.6","177,768.8","145,795.8","191,761.0","172,552.2","156,410.2","226,067.7","205,425.0","194,026.8"
"Sri Lanka Broadcasting Corporation","28.7","218.0","230.3","185.3","185.6","19.7","126.0","38.1","-","-"
"Sri Lanka Transport Board","1,237.2","1,877.3","2,632.8","4,529.7","3,320.1","2,395.8","2,649.6","1,425.7","1,311.2","749.6"
"Other","10.6","59.7","31.0","21.0","6.5","106.3","162.4","258.2","76.2","52.9"
"OTHER","13,083.5","17,526.7","50,556.1","47,696.6","38,617.6","48,889.4","17,863.1","16,747.5","12,428.1","4,271.4"
"National Apprenticeship and Industrial Training","","","","","","","","","",""
"Authority","121.7","195.5","59.4","94.4","78.8","142.3","55.5","43.3","40.1","68.0"
"National Science Foundation","135.1","236.9","234.8","231.8","243.0","283.3","307.2","59.0","61.7","16.0"
"National Youth Services Council","489.5","613.0","420.0","475.0","467.8","771.0","655.0","528.6","508.0","81.7"
"Sri Jayewardenepura General Hospital","282.4","190.2","265.7","553.0","509.6","958.2","590.0","193.0","316.4","44.9"
"Urban Development  Authority","1,025.0","1,346.8","1,070.6","607.9","690.7","636.0","1,009.5","1,054.0","1,306.9","-"
"University Grants Commission","152.1","299.3","238.6","195.3","203.4","84.0","120.1","440.0","283.0","138.0"
"University of Peradeniya","494.3","1,085.8","898.0","1,513.0","800.0","1,308.0","785.0","978.0","496.1","235.0"
"University of Colombo","359.2","628.1","615.0","632.0","765.0","565.0","705.0","433.0","395.0","126.5"
"University of Sri Jayewardenepura","454.6","947.6","875.0","1,197.2","799.7","1,504.1","605.5","1,038.0","800.0","450.0"
"University of Kelaniya","280.5","570.0","700.0","881.0","666.0","745.0","443.5","308.0","120.0","174.8"
"University of Moratuwa","261.8","714.0","640.0","1,353.5","725.0","552.0","400.0","423.0","374.9","140.2"
"University of Jaffna/Vauniya Campus","465.9","1,140.0","721.0","1,181.0","777.5","864.5","630.0","373.0","449.4","215.0"
"University of Ruhuna","499.5","608.0","535.0","985.0","655.0","629.0","340.0","397.0","357.5","156.0"
"University of Vocational Technology - UNIVOTEC","76.0","96.1","77.6","143.0","132.0","187.5","133.8","86.0","29.7","46.2"
"Other","7,986.1","8,855.4","43,205.5","37,653.6","31,104.2","39,659.5","11,083.1","10,393.6","6,889.4","2,379.2"
"Total","170,697.0","175,488.2","240,184.3","216,755.5","241,884.9","229,738.6","213,347.5","365,912.1","274,298.7","258,960.2"
"","(a) Figures for 2019 and 2020 may differ from those appearing in Appendix Table 99 of this Report due to the adjustment for arrears as per the","","","","","","","","Source: Ministry of Finance,",""
