"","","","","","","","","Rs. million","","","","","","","US$ million"
"2022 (a) 1st    Quarter","112,204","92,740","22,190","241,013","190,568","17,787","5,157","314,920","152,473","13,732","74,449","300","348","1,237,881","5,651"
"2nd   Quarter","117,871","84,592","23,337","363,502","278,251","18,773","7,959","356,159","167,568","12,364","74,650","301","206","1,505,533","4,377"
"3rd    Quarter","134,039","88,801","60,713","340,295","260,765","18,872","21,127","324,231","140,710","5,954","68,394","177","2,135","1,466,214","4,057"
"4th    Quarter","138,081","103,929","51,167","349,501","239,013","41,632","62,263","324,851","144,690","7,122","65,103","101","251","1,527,706","4,206"
"2021      January","35,016","30,814","15,658","37,435","45,046","1,307","900","73,946","41,270","4,866","16,710","33","186","303,185","1,592"
"February","25,579","27,350","8,708","47,839","43,232","10,775","2,717","70,288","37,613","3,992","17,307","23","256","295,680","1,524"
"March","37,361","37,407","-","61,155","49,431","6,123","3,204","102,658","54,091","6,849","21,027","39","30","379,375","1,926"
"April","24,387","30,613","19,178","56,483","45,096","5,279","9,328","76,869","45,000","5,297","19,373","25","68","336,996","1,707"
"May","24,156","26,464","18,519","47,443","47,046","4,148","2,597","88,895","36,573","4,648","20,184","93","53","320,819","1,607"
"June","32,975","43,395","-","13,227","55,300","8,709","443","89,962","54,009","9,319","23,715","120","362","331,536","1,659"
"July","23,579","44,954","18,352","31,950","50,244","5,262","1,114","89,508","46,392","8,974","20,957","307","388","341,981","1,710"
"August","23,889","41,123","21,585","49,121","48,386","11,022","187","72,198","44,913","5,940","19,551","106","150","338,171","1,687"
"September","22,169","40,592","-","32,930","52,959","5,155","86","80,243","45,818","8,588","19,501","114","82","308,237","1,526"
"October","19,643","27,338","9,838","56,355","53,454","14,082","3,130","90,901","41,321","3,568","20,850","73","149","340,702","1,694"
"November","27,433","34,299","-","62,291","60,017","5,374","279","77,374","49,840","13,184","24,356","164","1,594","356,205","1,765"
"December","34,484","49,960","12,028","68,450","60,004","6,090","7,430","121,563","61,979","4,189","24,987","66","101","451,331","2,241"
"2022 (a) January","37,717","34,820","11,790","62,697","63,773","8,398","502","97,114","49,114","3,768","24,985","46","24","394,747","1,959"
"February","32,561","27,708","10,400","68,354","65,188","3,193","843","98,103","45,245","2,648","23,293","150","157","377,842","1,873"
"March","41,927","30,212","-","109,962","61,608","6,197","3,812","119,703","58,114","7,317","26,171","105","167","465,293","1,819"
"April","47,290","28,026","-","152,206","89,836","6,698","6,544","126,950","57,372","3,431","24,153","124","87","542,717","1,699"
"May","38,511","25,056","23,337","139,219","87,212","7,675","862","113,591","53,867","5,860","25,697","59","41","520,987","1,451"
"June","32,069","31,511","-","72,077","101,203","4,400","554","115,618","56,329","3,073","24,800","118","78","441,829","1,226"
"July","39,583","26,918","-","124,627","79,501","1,465","11,656","103,582","52,332","2,572","22,049","92","11","464,386","1,287"
"August","50,421","33,049","29,677","110,579","97,377","10,795","7,194","118,554","49,141","2,178","25,363","68","2,000","536,397","1,486"
"September","44,035","28,833","31,036","105,089","83,887","6,612","2,277","102,095","39,238","1,204","20,981","17","125","465,431","1,284"
"October","43,299","30,083","-","133,139","83,758","9,614","6,762","109,979","46,227","2,063","20,033","17","71","485,045","1,336"
"November","47,603","33,317","26,508","107,220","82,309","19,007","13,456","119,386","51,263","2,308","22,425","54","88","524,946","1,445"
"December","47,180","40,529","24,659","109,142","72,946","13,010","42,045","95,486","47,200","2,751","22,645","30","92","517,715","1,426"
"(a) Provisional","","","","","","","","","","","","","","Sources:  Ceylon Petroleum Corporation",""
"","","","","","","","","","","","","","","Lanka IOC PLC",""
"","","","","","","","","","","","","","","Sri Lanka Customs",""
