"Period","Desiccated
Coconut","Coconut Oil","","Total Million 
Nuts (b)","Desiccated
Coconut","Coconut Oil","","Non Kernel
Products","","","Desiccated
Coconut","Coconut Oil","","Desiccated
Coconut","Coconut Oil","","Desiccated
Coconut","Coconut Oil","","Philippine 
Copra (US$/","Sri Lanka 
Desiccated  
Coconut 
(US$/kg)"
"2021  
   January","2,382","865","1","29","992","804","1","2,805","4,602","24","416.32","929.49","-","2.19","4.88","-","578.79","505.39","-","0.88","n.a."
"February","3,617","1,261","11","44","1,431","1,113","5","3,448","5,998","31","395.68","882.60","475.89","2.04","4.55","2.45","612.02","516.25","-","0.95","n.a."
"March","4,553","1,709","11","57","1,998","1,638","6","4,479","8,122","41","438.89","958.63","583.55","2.23","4.87","2.96","512.68","513.75","-","0.91","n.a."
"April","2,591","1,125","21","34","1,448","1,035","7","2,905","5,395","27","558.84","919.54","340.43","2.83","4.66","1.72","534.75","652.67","-","1.01","n.a."
"May","3,268","1,376","10","42","1,809","1,314","5","3,668","6,796","34","553.52","954.61","515.82","2.77","4.78","2.58","572.58","741.09","-","1.05","n.a."
"June","3,998","1,901","11","53","1,838","1,635","6","4,229","7,707","39","459.63","859.92","517.37","2.30","4.30","2.59","550.30","690.24","-","1.00","n.a."
"July","4,479","1,705","11","56","2,175","1,695","5","4,246","8,121","41","485.57","994.18","486.95","2.43","4.97","2.44","507.56","615.63","-","0.97","n.a."
"August","4,647","1,700","283","59","2,273","1,546","94","4,122","8,034","40","489.09","909.26","331.13","2.44","4.54","1.65","512.44","591.82","-","0.89","n.a."
"September","4,854","1,524","343","59","2,010","1,386","101","3,733","7,229","36","414.05","909.05","294.58","2.05","4.50","1.46","519.40","588.10","-","1.03","n.a."
"October","5,487","1,793","85","66","2,528","1,478","28","4,080","8,113","40","460.71","823.90","327.84","2.29","4.10","1.63","500.20","576.05","-","1.27","n.a."
"November","4,472","2,266","10","61","2,242","2,032","3","3,960","8,236","41","501.35","896.73","259.21","2.48","4.44","1.28","534.88","613.50","-","1.10","n.a."
"December","4,142","1,559","32","52","1,972","1,390","10","2,950","6,321","31","476.05","891.32","303.48","2.36","4.43","1.51","511.41","609.13","-","1.20","n.a."
"2022 (e)  January","4,425","1,269","32","52","1,846","1,120","10","3,738","6,713","33","417.17","883.02","303.48","2.07","4.38","1.51","520.90","641.11","-","1.39","n.a."
"February","4,020","1,171","84","47","1,752","1,065","26","4,152","6,995","35","435.94","909.18","307.42","2.16","4.51","1.52","490.90","633.24","-","1.45","n.a."
"March","4,843","1,727","74","60","2,416","1,755","23","5,201","9,395","37","498.85","1,016.10","318.07","1.95","3.97","1.24","512.56","771.90","-","1.36","n.a."
"April","4,447","1,693","84","56","2,770","2,366","30","5,707","10,873","34","622.83","1,397.35","362.76","1.95","4.37","1.14","550.25","792.00","-","1.28","n.a."
"May","4,305","1,844","126","56","3,181","2,652","59","7,219","13,111","37","738.82","1,438.16","471.27","2.06","4.01","1.31","645.11","741.46","-","1.04","n.a."
"June","4,316","2,698","136","64","3,548","3,435","68","7,545","14,598","41","822.24","1,273.16","502.79","2.28","3.53","1.40","607.38","658.25","-","1.03","n.a."
"July","3,498","1,746","150","48","2,701","2,382","68","6,777","11,928","33","772.30","1,364.41","457.49","2.14","3.78","1.27","525.69","642.75","-","0.88","n.a."
"August","4,923","1,738","220","61","3,406","2,420","99","6,876","12,801","35","691.84","1,391.97","448.20","1.92","3.86","1.24","544.06","679.89","-","0.84","n.a."
"September","4,938","1,620","270","61","2,820","1,960","124","5,846","10,751","30","571.01","1,210.44","457.80","1.58","3.34","1.26","490.48","623.69","-","0.72","n.a."
"October","5,090","1,499","263","61","2,769","1,873","121","8,985","13,748","38","544.04","1,249.57","459.20","1.50","3.44","1.26","498.06","604.16","-","0.69","n.a."
"November","5,188","1,307","389","61","2,819","1,596","178","3,998","8,591","24","543.36","1,221.51","457.26","1.50","3.36","1.26","522.82","614.76","-","0.77","n.a."
"December","5,146","1,365","253","60","2,796","1,745","118","4,347","9,006","25","543.29","1,278.40","466.31","1.50","3.52","1.28","556.74","669.50","-","0.73","n.a."
"(a)  Prices in rupee terms also include the impact of exchange rate movements.","","","","","","","","","","","","","","","","","","Sources:   Coconut Development Authority","","",""
