"","","","","","","","","","","","","Industrial","4,164","4,822","-5.2","15.8"
"","generation mix stood at 16 per cent, 33 per cent, and","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","General Purpose and Hotel (f)","3,238","3,342","-9.1","3.2"
"","","","","","","","","","","","","Street Lighting","108","97","-0.8","-9.8"
"","17 per cent, respectively. Further, the share of power","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Bulk Sales to LECO","1,605","1,633","-4.7","1.7"
"","","","","","","","","","","","","","","","",""
"","generated by the CEB out of total power generation","","","","","","","","","","","LECO Sales (GWh)","1,624","1,603","-1.3","-1.3"
"","","","","","","","","","","","","Domestic and Religious","739","717","6.8","-3.0"
"3","stood at 76.0 per cent in 2021, while the remainder","","","","","","","","","","","Industrial","279","306","-4.7","9.6"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","General Purpose and Hotel (f)","583","557","-8.9","-4.5"
"","was purchased from Independent Power Producers","","","","","","","","","","","Street Lighting","23","23","7.7","3.4"
"","","","","","","","","","","","","Overall Transmission and Distribution","","","",""
"","(IPPs).  The  overall","","","","transmission  and  distribution","","","","","","","Loss of CEB (%)","9.1","9.0","10.3","-1.1"
"","","","","","","","","","","","","Number of Consumers (‘000) (g)","7,213","7,401","2.0","2.6"
"","loss  as  a  percentage  of","","","","","","total  power  generation","","","","","o/w  Domestic and Religious","6,273","6,411","1.8","2.2"
"","","","","","","","","","","","","Industrial","70","73","3.8","4.2"
"","was maintained at 9.0 per cent in 2021 despite the","","","","","","","","","","","General  Purpose and Hotel (f)","867","915","4.3","5.5"
"","","","","","","","","","","","","","","","",""
"","expansion  of  electricity  supply  to  remote  and  rural","","","","","","","","","","","(a)  Revised","","Sources: Ceylon Electricity Board (CEB)","",""
"","","","","","","","","","","","","(b)  Provisional","","Lanka Electricity Company","",""
"","","","","","","","","","","","","","","(Pvt) Ltd (LECO)","",""
"","areas. From early 2022, there was a turnaround in the","","","","","","","","","","","(c)  Excluding mini hydro power plants","","","",""
"","","","","","","","","","","","","","(d)  Inclusive of Independent Power Producers (IPPs)","","",""
"","","","","","","","","","","","","","","","",""
"","reliance on hydropower generation due to the rapid","","","","","","","","","","","","(e)  Refers to Non-Conventional Renewable Energy including mini hydro","","",""
"","","","","","","","","","","","","(f)   Inclusive of sales to government category","","","",""
"","","","","","","","","","","","","(g)  Inclusive of LECO consumers","","","",""
"","depletion of reservoir water levels amid the onset of","","","","","","","","","","","","","","",""
"","dry weather conditions. Due to the resultant increase","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","soaring  global  prices  of  energy  commodities  led  to","","",""
"","in reliance on thermal-based power generation, the","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","the implementation of load shedding since February","","",""
"","CEB has been experiencing difficulties in meeting the","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","2022.","","","",""
"","energy demand of the economy in the early months","","","","","","","","","","","","","","",""
"","of  2022.  Difficulties  in  fuel  procurement  caused  by","","","","","","","","","","","","Electricity sales increased by 6.5 per cent to","","",""
"","foreign  exchange  issues  within  the  country  amidst","","","","","","","","","","","","15,214 GWh in 2021, owing primarily to the lower","","",""
"","","","","","","","","","","","","","base induced by the reduced demand in 2020.","","",""
"","","","","","Figure 3.6","","","","","","","","","","",""
"","","","Electricity Generation Mix","","","","","","","","","","The overall growth in sales was driven by demand","","",""
"100","","","","","","","","","","","","","from  all  user  categories,  except  for  religious  and","","",""
"","","","","","","","","","","","","street","lighting  purposes.  Electricity  sales","","","to 
the"
"80","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","hotel  sector,  which  accounts  for  1.4  per  cent  of","","",""
"60","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"%","","","","","","","","","","","","","total  sales,  increased  notably  by  13.7  per  cent  in","","",""
"40","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","2021,  compared  to  the  sharp  decline  of  29.2  per","","",""
"20","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","cent  observed  in  2020,  highlighting  the  recovery","","",""
"","","","","","","","","","","","","","","","",""
"0
Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","","in  the  tourism  sector  during  the  year.  Meanwhile,","","",""
"","2019","","","","2020","","","","2021","","","","","","",""
"","","","","","","","","","","","","","the  CEB  continued  to  face  difficulties  in  manual","","",""
"","","","","","","","","","","","","","","","",""
"","Hydro","","","Fuel Oil","","","Coal","","NCRE","","","","meter  reading  resulting  in  significant  mismatches","","",""
"","","","","","","","","Source: Ceylon Electricity Board","","","","","","","",""
"","","","","","","","","","","","","","between electricity sales and electricity generation","","",""
