"","KEY ECONOMIC INDICATORS (Contd.)","","","","","",""
"MONETARY AGGREGATES (year-on-year percentage change)","","","","","","",""
"Reserve money","16.5","27.1","9.8","2.3","-3.0","3.4","35.4"
"Narrow money (M1)","16.8","8.6","2.1","4.7","4.2","36.0","24.0"
"Broad money (M2b) (x)","17.8","18.4","16.7","13.0","7.0","23.4","13.2"
"Net foreign assets of the banking system","-2,071.2","22.4","152.6","-155.1","250.3","-308.0","-368.8"
"Net domestic assets of the banking system","26.0","15.9","9.8","16.3","4.6","27.8","20.9"
"Domestic credit from the banking system to","","","","","","",""
"Government (net)","22.5","12.1","10.0","16.1","11.1","62.7","28.2"
"Public corporations/SOBEs","17.7","-3.2","4.5","40.7","8.3","22.5","18.6"
"Private sector","25.0","21.6","14.7","15.9","4.2","6.5","13.1"
"Money multiplier for M2b (end year)","6.78","6.31","6.71","7.42","8.18","9.75","8.15"
"Velocity of M2b (average for the year) (h)","2.62","2.43","2.26","2.11","2.04","1.77 (d)","1.65"
"INTEREST RATES (per cent per annum at year end)","","","","","","",""
"Standing Deposit Facility Rate (SDFR) (y)","6.00","7.00","7.25","8.00","7.00","4.50","5.00"
"Standing Lending Facility Rate (SLFR) (y)","7.50","8.50","8.75","9.00","8.00","5.50","6.00"
"Bank Rate (z)","15.00","15.00","15.00","15.00","15.00","8.50","9.00"
"Legal Rate of Interest / Market Rate of Interest (aa)","7.76","5.98","7.06","9.08","11.50","11.64","10.12"
"Money market rates","","","","","","",""
"Average weighted call money rate (AWCMR)","6.40","8.42","8.15","8.95","7.45","4.55","5.95"
"Treasury bill yields","","","","","","",""
"91-day","6.45","8.72","7.69","10.01","7.51","4.69","8.16"
"364-day","7.30","10.17","8.90","11.20","8.45","5.05","8.24"
"Deposit rates","","","","","","",""
"Commercial banks’ average weighted deposit rate (AWDR)","6.20","8.17","9.07","8.81","8.20","5.80","4.94"
"Commercial banks’ average weighted fixed deposit rate (AWFDR)","7.57","10.46","11.48","10.85","10.05","7.14","5.94"
"Commercial banks’ average weighted new deposit rate (AWNDR)","6.96","11.17","10.06","10.94","8.89","4.93","6.45"
"Commercial banks’ average weighted new fixed deposit rate (AWNFDR)","7.13","11.44","10.65","11.27","9.17","5.08","6.67"
"NSB savings rate","5.00","4.25","4.00","4.00","4.00","3.50","3.50"
"NSB 12 month fixed deposit rate","7.25","11.00","11.00","10.50","9.83","5.25","5.50"
"Lending rates","","","","","","",""
"Commercial banks’ average weighted prime lending rate (AWPR)-Weekly","7.53","11.52","11.55","12.09","9.74","5.81","8.61"
"Commercial banks’ average weighted lending rate (AWLR)","11.00","13.20","13.88","14.40","13.59","10.29","9.87"
"Commercial banks’ average weighted new lending rate (AWNLR)","10.19","13.94","14.31","14.54","12.80","8.38","9.48"
"CAPITAL MARKET","","","","","","",""
"All share price index (ASPI) (1985 = 100)","6,894.5","6,228.3","6,369.3","6,052.4","6,129.2","6,774.2","12,226.0"
"S&P SL20 index (2004 Dec = 1,000)","3,625.7","3,496.4","3,671.7","3,135.2","2,937.0","2,638.1","4,233.3"
"Value of shares traded (Rs. million)","253,251","176,935","220,591","200,069","171,408","396,882","1,173,157"
"Net purchases by non nationals (Rs. million)","-5,372","338","17,655","-23,239","-11,735","-51,356","-52,649"
"Market capitalisation (Rs. billion)","2,938.0","2,745.4","2,899.3","2,839.5","2,851.3","2,960.7","5,489.2"
"(n)    Based on GDP estimates in US dollars","","(w)   Outstanding balance of Treasury bonds issued to State Owned Business Enterprises (SOBEs) has","","","","",""
