"","EXTERNAL  SECTOR  DEVELOPMENTS  AND  POLICIES","","","","","","","","","","","","TABLE  63 (Contd.)",""
"3rd    Quarter","89.9","145.8","115.9","110.6","143.7","10.7","153.5","142.5","134.4","346.8","49.0","148.2","223.3","147.9"
"4th    Quarter","126.8","119.5","123.4","140.2","160.9","81.3","171.3","147.6","159.7","428.3","42.8","157.5","264.3","173.0"
"2020      January","153.6","182.0","166.8","128.3","190.9","39.5","177.0","47.5","152.7","343.8","89.6","197.7","245.4","173.1"
"February","126.1","160.6","142.2","203.6","119.3","87.3","161.2","39.2","159.6","231.6","55.9","160.3","172.4","157.5"
"March","144.5","99.6","123.6","162.6","86.8","49.4","126.2","264.3","136.7","246.2","67.3","113.7","168.0","139.4"
"April","128.3","149.7","138.3","115.3","97.6","184.7","155.2","37.7","120.0","168.1","108.5","124.8","142.2","126.8"
"May","114.2","134.8","123.8","62.9","76.4","178.0","132.8","168.0","90.2","162.9","42.4","95.4","116.7","101.0"
"June","101.6","116.0","108.3","78.4","104.4","173.1","135.1","116.2","100.2","263.8","29.0","130.9","173.5","115.8"
"July","126.1","127.7","126.8","134.6","125.6","58.2","170.9","113.8","138.6","205.3","31.5","165.5","155.9","138.7"
"August","105.1","97.2","101.4","169.3","123.6","59.4","149.8","203.4","154.0","267.3","17.6","149.8","178.4","147.8"
"September","132.4","117.8","125.6","146.1","150.1","110.5","180.1","267.6","171.8","347.2","36.6","170.2","227.3","173.0"
"October","123.2","114.5","119.1","149.3","143.9","183.5","157.7","123.4","156.7","398.8","37.5","170.9","252.8","168.0"
"November","121.4","113.7","117.8","114.7","148.3","510.5","170.3","112.9","149.8","260.3","56.0","122.4","175.0","147.6"
"December","152.0","130.7","142.1","132.4","154.4","288.7","178.9","172.6","151.5","278.8","33.1","170.3","193.4","156.9"
"2021 (b) January","183.8","126.8","157.3","168.9","153.7","28.5","192.2","31.1","158.9","302.9","49.1","142.8","200.3","165.8"
"February","120.7","112.0","116.6","158.8","148.3","89.3","162.7","224.8","155.6","259.0","36.1","146.7","177.3","151.4"
"March","182.1","135.2","160.3","157.2","160.7","117.7","230.9","117.0","176.7","484.0","47.2","163.2","293.8","196.0"
"April","118.2","117.9","118.0","193.6","144.7","298.6","178.7","102.2","169.5","421.5","45.0","156.5","261.1","177.2"
"May","106.9","111.9","109.2","150.1","149.2","69.9","189.2","80.0","160.3","198.9","34.0","152.9","149.7","147.1"
"June","144.8","165.1","154.2","28.9","176.5","14.5","199.0","185.5","121.0","316.2","73.1","175.4","221.8","146.7"
"July","86.4","161.6","121.4","107.4","146.9","25.7","163.6","117.9","139.3","354.4","53.3","145.0","227.1","152.7"
"August","97.0","140.9","117.5","147.2","140.1","4.8","148.4","193.7","148.0","314.6","45.7","150.3","207.5","153.1"
"September","86.2","134.9","108.9","77.2","144.1","1.5","148.5","116.0","115.8","371.4","48.1","149.3","235.3","138.0"
"October","76.7","97.5","86.4","133.4","143.9","72.9","160.6","232.1","146.4","518.1","31.2","137.0","299.2","165.3"
"November","127.4","113.5","120.9","126.6","166.9","5.8","161.4","85.8","139.7","336.9","56.3","162.1","224.4","152.3"
"December","176.2","147.4","162.8","160.7","171.8","165.2","192.0","124.9","193.1","429.9","40.9","173.4","269.3","201.3"
"","(a) Volume index is computed as a Laspeyres index.","","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
