"FISCAL SECTOR","","","","","","","","","","TABLE 7"
"","","","","","","","","","",""
"","","","","Central Government Debt (a)","","","","","","Values in Rs. million"
"2002","210,995","287,701","347,128","102,562","948,386","721,957","1,670,343","60.0","45.6","105.6"
"2003","219,295","248,414","487,504","69,153","1,024,366","843,882","1,868,248","56.2","46.3","102.5"
"2004","243,886","164,758","647,746","91,396","1,147,786","996,138","2,143,924","54.9","47.6","102.5"
"2005","234,174","140,563","755,966","139,416","1,270,119","956,620","2,226,739","51.8","39.0","90.8"
"2006","257,732","116,713","890,369","218,813","1,483,627","1,103,418","2,587,045","50.5","37.5","88.0"
"2007","307,012","131,509","1,023,249","257,825","1,719,595","1,326,487","3,046,082","48.1","37.1","85.1"
"2008","402,600","130,009","1,286,375","325,641","2,144,625","1,448,734","3,593,359","48.6","32.8","81.5"
"2009","441,032","112,292","1,517,909","334,119","2,405,352","1,760,467","4,165,819","49.7","36.4","86.2"
"2010","514,442","87,709","1,648,284","319,624","2,570,059","2,024,583","4,594,642","40.1","31.6","71.6"
"2011","590,885","61,961","1,823,648","331,988","2,808,482","2,329,280","5,137,762","38.9","32.3","71.2"
"2012","629,070","58,386","2,177,892","450,303","3,315,651","2,767,299","6,082,950","38.0","31.7","69.7"
"2013","700,137","55,518","2,548,323","624,810","3,928,788","2,960,424","6,889,212","41.0","30.9","71.8"
"2014","694,767","55,518","2,940,017","683,444","4,373,746","3,113,116","7,486,862","42.2","30.0","72.3"
"2015","658,240","24,088","3,401,211","971,620","5,055,159","3,544,031","8,599,190","46.2","32.4","78.5"
"2016","779,581","24,088","3,806,353","823,051","5,433,073","4,045,796","9,478,869","45.3","33.7","79.0"
"2017","697,154","24,088","3,892,408","1,050,565","5,664,215","4,718,618","10,382,832","42.5","35.4","77.9"
"2018","746,887","24,088","4,197,323","1,102,703","6,071,001","5,959,547","12,030,548","42.5","41.7","84.2"
"2019","873,943","24,088","4,606,232","1,325,997","6,830,260","6,201,283","13,031,543","45.5(g)","41.3(g)","86.9(g)"
"2020 (h)(i)","1,620,705","24,088","5,713,300","1,706,975","9,065,068","6,052,179","15,117,247","60.3(g)","40.3(g)","100.6(g)"
"2021 (h)","2,270,508","24,088","6,966,218","1,836,410","11,097,223","6,492,150","17,589,373","66.0","38.6","104.6"
"","(a)  As  per  the  guidelines  of  compiling  government  debt  statistics  in  the  Manual  of  Government  Finance  Statistics  published  by  the  IMF  in  2014,","","","","","","","","Sources: Ministry of Finance",""
"","non resident holdings of outstanding SLDBs have been classified under foreign debt and resident holdings of outstanding ISBs of the Sri Lankan","","","","","","","","",""
