"Public Corporations and Institutions","2012","2013","2014","2015","2016","2017","2018","2019 (a)","2020 (a)","2021 (b)"
"and Development Agency","","","","","","","","","",""
"National Aquaculture Development Authority of Sri Lanka","82.4","83.5","95.0","100.0","150.0","172.4","250.0","171.9","204.0","50.2"
"MANUFACTURING AND MINING","42.4","70.9","110.4","95.7","145.1","163.0","202.6","202.9","86.1","83.8"
"Industrial Development  Board","18.0","25.0","35.0","45.0","45.0","55.0","65.1","117.4","52.6","32.2"
"Gem and Jewellery Research and Training Institution","10.9","29.6","35.4","20.4","42.8","34.9","51.7","32.0","9.0","5.0"
"Other","13.6","16.4","40.0","30.3","57.2","73.1","85.8","53.5","24.5","46.5"
"TRADE AND COMMERCE","336.8","404.1","519.7","510.4","470.4","580.3","510.6","337.7","212.2","333.6"
"Sri Lanka Export Development Board","186.7","229.0","253.0","192.8","100.0","113.0","257.6","148.5","58.0","87.0"
"Paddy Marketing Board","115.3","81.1","175.0","155.0","150.0","150.0","177.5","70.0","78.0","0.0"
"Other","34.8","94.0","91.7","162.7","220.4","317.3","75.6","119.2","76.2","246.6"
"TRANSPORT AND COMMUNICATIONS","135,863.5","131,409.8","129,949.6","180,813.9","150,580.7","195,317.2","175,077.2","159,348.2","227,789.7","206,812.4"
"National Transport Commission","32.0","48.5","137.0","151.0","48.9","44.0","3.3","-","-","-"
"Road Development Authority","135,180.0","130,084.8","127,657.6","177,768.8","145,795.8","191,761.0","172,552.2","156,410.2","226,067.7","205,425.0"
"Sri Lanka Broadcasting Corporation","65.2","28.7","218.0","230.3","185.3","185.6","19.7","126.0","38.1","-"
"Sri Lanka Transport Board","579.0","1,237.2","1,877.3","2,632.8","4,529.7","3,320.1","2,395.8","2,649.6","1,425.7","1,311.2"
"Other","7.3","10.6","59.7","31.0","21.0","6.5","106.3","162.4","258.2","76.2"
"OTHER","10,456.8","13,083.5","17,526.7","50,556.1","47,696.6","38,617.6","48,889.4","17,863.1","16,747.5","12,428.1"
"National Apprenticeship and Industrial Training","","","","","","","","","",""
"Authority","331.0","121.7","195.5","59.4","94.4","78.8","142.3","55.5","43.3","40.1"
"National Science Foundation","152.4","135.1","236.9","234.8","231.8","243.0","283.3","307.2","59.0","61.7"
"National Youth Services Council","185.1","489.5","613.0","420.0","475.0","467.8","771.0","655.0","528.6","508.0"
"Sri Jayewardenepura General Hospital","71.0","282.4","190.2","265.7","553.0","509.6","958.2","590.0","193.0","316.4"
"Urban Development  Authority","270.0","1,025.0","1,346.8","1,070.6","607.9","690.7","636.0","1,009.5","1,054.0","1,306.9"
"University Grants Commission","4,341.0","152.1","299.3","238.6","195.3","203.4","84.0","120.1","440.0","283.0"
"University of Peradeniya","n.a.","494.3","1,085.8","898.0","1,513.0","800.0","1,308.0","785.0","978.0","496.1"
"University of Colombo","n.a.","359.2","628.1","615.0","632.0","765.0","565.0","705.0","433.0","395.0"
"University of Sri Jayewardenepura","n.a.","454.6","947.6","875.0","1,197.2","799.7","1,504.1","605.5","1,038.0","800.0"
"University of Kelaniya","n.a.","280.5","570.0","700.0","881.0","666.0","745.0","443.5","308.0","120.0"
"University of Moratuwa","n.a.","261.8","714.0","640.0","1,353.5","725.0","552.0","400.0","423.0","374.9"
"University of Jaffna/Vauniya Campus","n.a.","465.9","1,140.0","721.0","1,181.0","777.5","864.5","630.0","373.0","449.4"
"University of Ruhuna","n.a.","499.5","608.0","535.0","985.0","655.0","629.0","340.0","397.0","357.5"
"University of Vocational Technology - UNIVOTEC","n.a.","76.0","96.1","77.6","143.0","132.0","187.5","133.8","86.0","29.7"
"Other","5,073.0","7,986.1","8,855.4","43,205.5","37,653.6","31,104.2","39,659.5","11,083.1","10,393.6","6,889.4"
"Total","176,006.8","170,697.0","175,488.2","240,184.3","216,755.5","241,884.9","229,738.6","213,347.5","365,912.1","274,298.7"
"","(a) Figures for 2019 and 2020 may differ from those appearing in Appendix Table 99 of this Report due to the adjustment for arrears as per the","","","","","","","","Source: Ministry of Finance",""
