"EXTERNAL SECTOR
 TABLE 4
"","1980
 1,064.7 
 2,051.2 
52.0
274.6
-660.0
-16.4
-
42.9
40.3
157.5
157.5
1981
 1,065.5 
 1,876.9 
4.3
364.8
-442.3
-10.0
-
50.2
52.9
266.0
31.4
1982
 1,013.7 
 1,994.1 
-15.1
427.3
-568.1
-11.9
-
63.6
194.5
261.2
7.1
1983
 1,064.1 
 1,921.3 
-60.0
444.3
-472.8
-9.1
-
37.5
94.9
281.0
37.6
1984
 1,462.3 
 1,928.1 
-68.2
479.4
-54.7
-0.9
-
32.6
-4.7
341.7
-25.5","","","","","","","","","","","","","","","","","","","","","","","","","-
-191.9
-19.0
-
19.9
-21.3
-
-48.0
-5.7
-
18.0
21.6
-
269.3
22.4",""
"","1985
 1,315.3 
 2,044.3 
-134.3
443.8
-419.5
-7.0
-
24.4
31.2
273.0
4.4
1986
 1,209.7 
 1,973.2 
-129.1
466.4
-426.1
-6.7
-
28.2
18.3
291.7
-13.5
1987
 1,395.7 
 2,075.1 
-156.9
492.9
-343.4
-5.1
-
58.2
-13.0
198.0
39.0
1988
 1,477.2 
 2,240.2 
-153.2
526.9
-389.3
-5.6
-
43.0
-43.0
245.0
16.0
1989
 1,547.1 
 2,226.5 
-157.7
518.7
-318.3
-4.6
-
17.9
-50.0
217.0
92.0","","","","","","","","","","","","","","","","","","","","","","","","","-
-49.3
-17.8
-
-70.3
-4.3
-
-67.3
2.4
-
-90.7
-10.3
-
-88.0
0.5",""
"","1990
 1,983.9 
 2,686.4 
-97.9
423.4
-377.0
-4.7
117.5
41.6
-44.6
405.3
-5.7
1991
 2,039.5 
3,036.6 
-91.2
468.9
-619.4
-6.9
134.6
62.7
-24.4
500.2
184.6
1992
 2,460.8 
 3,505.4 
-32.6
522.6
-554.6
-5.7
121.6
121.1
25.4
266.2
130.1
1993
 2,863.7 
 4,011.3 
39.4
612.7
-495.5
-4.8
108.6
187.2
187.9
264.8
359.7
1994
 3,208.6 
 4,767.3 
17.8
680.6
-860.3
-7.3
113.1
158.2
294.5
252.8
124.3","","","","","","","","","","","","","","","","","","","","","","","","","-
118.7
-12.5
-
290.2
1.1
-
189.6
19.8
-
660.9
4.3
-
239.7
-0.7",""
"","1995
 3,806.6 
 5,311.1 
-18.0
736.0
-786.5
-6.0
117.3
53.1
90.7
358.3
79.2
1996
 4,095.1 
 5,438.8 
-92.3
759.1
-676.9
-4.9
95.9
119.9
1.6
259.2
-17.6
1997
 4,639.0 
 5,863.8 
-0.4
832.3
-392.9
-2.6
87.1
429.8
47.4
238.6
-200.7
1998
 4,797.8 
 5,889.5 
-34.9
900.7
-225.9
-1.4
79.6
193.0
1.7
203.1
-64.0
1999
 4,610.1 
 5,979.3 
-106.6
912.8
-563.0
-3.6
80.3
176.9
196.0
62.1
-142.4","","","","","","","","","","","","","","","","","","","","","","","","","-
51.5
-0.9
-
-67.8
2.3
-
162.9
2.3
-
36.8
13.5
-
-263.2
-5.0",""
"","-1,066.0
-6.4
50.2
176.0
82.1
47.0
88.1
2000
 5,522.3 
 7,319.8 
-267.0
997.8
2001
 4,816.9 
 5,974.4 
-62.6
1,005.2
-215.1
-1.4
197.5
172.0
-257.1
249.0
200.5
2002
 4,699.0 
 6,105.6 
42.5
1,128.0
-236.5
-1.4
65.0
185.0
-21.0
162.0
53.3
2003
 5,133.3 
 6,671.9 
227.0
1,241.0
-71.0
-0.4
74.0
201.0
-33.0
554.0
-73.6
2004
 5,757.2 
 7,999.8 
215.0
1,380.0
-648.0
-3.1
64.0
227.0
14.0
439.0
-112.6","","","","","","","","","","","","","","","","","","","","","","","","","393.2
-521.9
-6.1
364.4
219.8
-1.7
379.3
338.0
4.6
648.4
502.0
-7.4
567.4
-205.0
-5.2",""
"","2005
 6,346.7 
 8,863.2 
38.2
1,828.1
-650.2
-2.7
249.8
233.8
10.8
553.5
176.0
2006
 6,882.7 
 10,253.0 
-132.3
2,004.1
-1,498.6
-5.3
290.6
451.1
-35.0
490.5
610.8
2007
 7,640.0 
 11,296.5 
-55.5
2,310.6
-1,401.5
-4.3
268.8
548.3
30.6
671.9
577.2
2008
 8,110.6 
 14,091.2 
-571.1
2,666.1
-3,885.6
-9.5
290.6
690.5
73.9
252.0
466.8
2009
 7,084.5 
 10,206.6 
-96.7
3,004.5
-214.3
-0.5
232.9
384.0
79.3
840.3
1,057.7","","","","","","","","","","","","","","","","","","","","","","","","","974.1
501.4
-4.2
1,517.4
203.6
-3.5
1,828.0
530.5
-1.0
1,483.2
-1,384.8
3.0
2,361.3
2,725.3
-2.7",""
"","2010
 8,625.8 
 13,450.9 
89.8
3,660.3
-1,075.0
-1.9
163.9
435.1
148.7
1,795.5
334.0
2011
 10,558.8 
 20,268.8 
451.8
4,642.8
-4,615.4
-7.1
164.4
895.9
175.3
2,236.7
790.2
2012 (c)(f)
 9,773.5 
 19,190.2 
42.9
5,392.0
-3,981.7
-5.8
130.3
-877.2
-718.9
 -992.4
-1,674.9
2013
 10,394.3 
 18,002.8 
-571.6
5,639.5
-2,540.6
-3.4
70.9
-867.5
 -605.2
 -841.4
 -749.6
2014
11,130.1
19,416.8
72.0
6,227.0
-1,987.7
-2.5
58.3
 -826.8
 -428.7
 -645.7
 365.1","","","","","","","","","","","","","","","","","","","","","","","","","2,713.3
921.0
27.4
4,098.1
-1,059.4
-8.9
 -4,263.4
151.1
-1.5
 -3,063.7
985.2
4.6
 -1,536.1
1,369.1
4.3",""
"","2015
10,546.5
18,934.6
312.0
6,193.3
-1,882.8
-2.2
46.3
-626.7
-8.6
 -469.6
 -1,207.4
2016
10,309.7
 19,182.8 
 677.7 
6,453.0
-1,742.4
-2.0
 25.3 
-660.2
 -136.3
-1,287.1
-98.2
2017
 11,360.4 
 20,979.8 
 983.8 
 6,326.6 
 -2,309.0
 -2.4
 10.9 
 -1,300.9
 -210.9
 -1,223.3
612.3
2018
 11,889.6 
 22,232.7 
 1,381.5 
 6,162.6 
 -2,799.1
 -3.0
 14.4 
 -1,546.2
 -113.8
 -557.0
 -1,160.7
2019
 11,940.0 
 19,937.1 
 387.7 
 5,766.0 
 -1,843.4
 -2.1
 23.1 
 -666.1
 202.6
 88.8
 -2,085.2","","","","","","","","","","","","","","","","","","","","","","","","","-2,312.3
-1,488.7
2.7
 -2,181.8
-499.8
 4.0 
 -2,122.8
 2,068.5 
 1.2 
 -3,377.7
 -1,102.9
 0.02 
 -2,459.9
 376.6 
-1.6",""
"","2020
10,047.4
16,055.4
-1,385.9
6,206.8
-1,187.1
-1.4
28.1
-419.5
56.2
-169.4
138.3
2021 (h)
12,498.6
20,637.4
-372.9
5,227.5
-3,284.3
-3.7
25.1
-574.8
167.1
-873.0
-2,930.3
2022 (i)
13,106.4
18,291.0
235.5
3,496.4
-1,452.7
-1.9
19.4
-883.2
-13.0
-1,679.1
628.9","","","","","","","","","","","","","","","","","","","","","","","","","-394.4
-2,327.7
2.5
-4,210.9
-3,966.6
-8.6
-1,946.4
-2,806.1
-11.6",""
"","(f)","(a)  Replaced with Secondary Income (net) based on the BPM6 format, from 2012
(b)   From 2015 onwards, data are based on the GDP estimates of the DCS with base year 2015.
(c) 
(d)  Replaced with ‘Loans - other sector - long term’ under ‘Net Incurrence of Liabilities’ based on the BPM6 format, from 2012
(e) 
(g)   Trade indices are calculated with a wider coverage using 2010 as the base year, from 2007.
(h) 
(i)","","","","","","","","","","","","","","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Based on the BPM6 format, financial account (net) data are represented as Net acquisition of Assets - Net Incurrence of Liabilities from 2012 onwards,","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","resulting in a ‘minus’ sign for net inflows to the financial account from 2012 onwards. 
Replaced with ‘Loans - government - long term’ under ‘Net Incurrence of Liabilities’ based on the BPM6 format, from 2012
Includes net increase/decrease in reserve assets and reserve related liabilities based on the BPM6 format, and is the residual net flows to financial account","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","from 2012 onwards.","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Revised","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Provisional","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
