"","","","","","","","Currency Issued by the Central Bank (by Denomination)","","","","","","","","","","","","","","","","",""
"2022","January","1,025,302","746,946","2,938","162,311","52,772","126","27,840","7,166","7,317","1,249","1,008,735","43","7,735","5,191","1,594","1,026","185","121","39","23","6","4","16,567"
"","February","1,029,673","752,761","2,936","160,756","52,641","126","27,832","7,265","7,370","1,249","1,013,005","60","7,788","5,214","1,599","1,029","185","122","39","23","6","4","16,668"
"","March","1,099,324","808,349","2,920","169,492","56,003","126","29,141","7,546","7,512","1,249","1,082,406","105","7,913","5,276","1,610","1,035","185","122","39","23","6","4","16,918"
"","April","1,170,677","855,783","2,902","186,720","60,728","126","30,687","7,765","7,651","1,249","1,153,678","113","7,967","5,288","1,614","1,037","185","122","39","23","6","4","16,999"
"","May","1,155,711","847,083","2,899","181,068","59,962","126","30,789","7,768","7,642","1,248","1,138,653","120","7,998","5,303","1,618","1,039","185","122","39","23","6","4","17,058"
"","June","1,114,776","815,985","2,852","172,476","58,883","126","30,554","7,821","7,625","1,248","1,097,639","135","8,041","5,318","1,622","1,040","185","122","39","23","6","4","17,138"
"","July","1,124,365","828,123","2,848","170,822","58,306","126","30,205","7,811","7,617","1,248","1,107,176","146","8,070","5,326","1,624","1,043","185","122","39","23","6","4","17,189"
"","August","1,079,737","789,252","2,806","166,332","57,314","126","29,864","7,808","7,657","1,248","1,062,474","150","8,120","5,340","1,627","1,045","185","122","39","23","6","4","17,263"
"","September","1,043,919","762,644","2,768","158,957","55,812","126","29,454","7,803","7,701","1,248","1,026,583","150","8,176","5,351","1,630","1,048","185","122","39","23","6","4","17,335"
"","October","1,026,032","750,759","2,759","154,791","54,540","126","28,851","7,797","7,704","1,248","1,008,645","150","8,214","5,359","1,633","1,050","185","122","39","23","6","4","17,387"
"","November","1,005,778","735,304","2,749","151,805","53,303","126","28,301","7,728","7,719","1,248","988,352","150","8,243","5,365","1,633","1,052","185","122","39","23","6","4","17,426"
"","December","1,026,567","754,398","2,710","154,428","52,839","126","27,890","7,673","7,714","1,247","1,009,094","150","8,279","5,373","1,634","1,054","185","122","39","23","6","4","17,474"
"(a)  Pursuant to Section 51 of the Monetary Law Act, the Central Bank’s holdings of notes and coins are not considered as part of its currency issue.","","","","","","","","","","","","","","","","","","","","","Source: Central Bank of Sri Lanka","","",""
