"","","","","","Exports","","","","","","","","","Prices (a)","","",""
"2021  
 
January","260","823","639","1,722","97","443","210","749","4","435.09","2.28","458.50","444.00","496.48","495.50","364.00","2.30"
"February","315","564","259","1,139","118","306","105","529","3","464.69","2.39","444.33","426.00","602.25","597.25","366.67","2.35"
"March","480","1,042","784","2,306","182","628","282","1,092","6","473.47","2.40","426.50","420.00","510.00","505.00","381.67","2.37"
"April","152","624","432","1,208","64","395","170","629","3","520.67","2.64","428.00","420.00","545.00","542.67","396.67","2.15"
"May","211","432","111","754","84","293","72","450","2","596.16","2.99","453.50","448.33","628.33","617.67","425.00","2.29"
"June","80","541","282","904","31","354","143","528","3","584.36","2.92","467.00","-","629.50","624.75","438.50","2.12"
"July","165","725","183","1,073","69","503","78","650","3","605.56","3.03","454.50","450.00","640.00","636.50","412.63","1.87"
"August","593","592","219","1,405","233","403","113","749","4","533.15","2.66","456.50","443.50","665.00","662.00","412.75","1.90"
"September","552","866","475","1,892","221","623","204","1,047","5","553.55","2.74","462.50","455.00","683.50","681.53","431.60","1.79"
"October","266","685","166","1,117","98","468","77","642","3","574.86","2.86","488.00","476.00","697.50","694.25","449.00","1.87"
"November","183","641","209","1,033","67","503","94","663","3","641.76","3.18","515.00","-","721.67","714.67","446.75","1.93"
"December","76","729","133","937","29","556","63","648","3","691.79","3.43","475.00","487.00","696.58","690.00","412.20","1.92"
"2022 (b) January","418","1,029","342","1,789","138","729","158","1,025","5","573.16","2.84","461.00","-","652.25","650.00","398.75","1.97"
"February","677","803","387","1,867","237","577","165","979","5","524.24","2.60","454.00","-","701.23","698.25","399.25","2.11"
"March","776","724","368","1,868","339","644","219","1,202","5","643.54","2.52","562.70","594.33","803.60","797.00","459.50","2.12"
"April","319","605","196","1,120","178","687","141","1,006","3","897.96","2.81","648.75","639.00","953.33","937.50","538.25","2.09"
"May","358","495","125","978","244","608","115","967","3","988.36","2.75","718.33","-","1,162.50","1,153.75","551.75","2.06"
"June","337","543","100","980","236","679","97","1,012","3","1,032.96","2.87","800.80","-","1,400.00","1,391.67","675.00","2.03"
"July","74","701","27","803","50","946","47","1,043","3","1,299.56","3.60","-","-","1,450.00","1,248.33","643.25","1.78"
"August","56","781","88","925","37","1,020","116","1,173","3","1,267.75","3.51","685.00","-","987.50","987.50","529.00","1.61"
"September","118","808","73","999","71","1,046","84","1,201","3","1,202.50","3.32","670.00","-","813.00","805.00","451.25","1.48"
"October","362","817","160","1,338","190","918","122","1,230","3","919.00","2.53","500.00","495.20","675.00","675.00","412.50","1.50"
"November","343","461","183","986","180","440","113","733","2","742.98","2.04","526.70","520.10","612.50","609.00","446.25","1.43"
"December","395","896","194","1,485","204","835","133","1,172","3","788.85","2.17","517.67","505.00","628.33","626.33","444.33","1.54"
"","(a) Prices in rupee terms also include the impact of exchange rate movements.","","","","","","","","","","","","","Sources:  The Ceylon Chamber of Commerce","","",""
"(b) Provisional","","","","","","","","","","","","","","","Sri Lanka Customs","",""
