"","","","","","","","","","","","","","","2010=100"
"July","189.2","414.3","294.0","178.7","294.8","49.2","347.3","210.4","259.0","368.1","160.7","270.7","295.2","270.7"
"August","191.7","379.0","278.9","246.8","283.9","8.3","327.7","440.8","267.0","356.4","106.4","252.5","271.6","267.7"
"September","177.9","374.1","269.2","141.7","310.7","3.8","324.1","206.1","226.0","363.6","153.8","251.9","285.2","244.0"
"October","157.6","252.0","201.5","270.2","313.6","138.3","320.2","563.1","300.3","327.9","63.9","269.3","253.5","269.7"
"November","220.1","316.1","264.8","224.4","352.1","12.3","351.6","214.9","270.8","395.5","236.2","314.6","337.3","282.0"
"December","276.7","460.5","362.2","311.0","352.0","328.3","410.6","243.5","363.4","491.8","75.0","322.7","351.4","357.3"
"2022 (b)  January","302.6","320.9","311.1","302.6","374.1","22.2","357.3","335.8","322.1","389.7","67.5","322.7","300.2","312.5"
"February","261.2","255.4","258.5","325.4","382.4","37.2","380.3","127.7","324.5","359.0","47.4","300.9","274.8","299.1"
"March","336.4","278.5","309.4","464.1","361.4","168.5","455.5","247.8","397.3","461.2","131.1","338.0","353.3","368.3"
"April","379.4","258.3","323.1","568.8","527.0","289.2","624.3","267.8","504.0","455.3","61.5","312.0","327.8","429.6"
"May","309.0","230.9","272.7","578.1","511.7","38.1","555.0","306.9","490.4","427.4","105.0","331.9","329.3","412.4"
"June","257.3","290.4","272.7","251.6","593.7","24.5","569.4","175.9","387.5","447.0","55.0","320.3","324.8","349.7"
"July","317.6","248.1","285.2","435.0","466.4","515.0","544.8","58.6","423.1","415.3","46.1","284.8","296.8","367.6"
"August","404.5","304.6","358.0","489.6","571.3","317.9","683.3","431.7","493.4","389.9","39.0","327.6","295.7","424.6"
"September","353.3","265.8","312.6","476.1","492.1","100.6","548.4","264.4","436.5","311.4","21.6","271.0","236.7","368.4"
"October","347.4","277.3","314.8","502.6","491.4","298.8","533.9","384.5","452.6","366.8","37.0","258.8","263.3","383.9"
"November","381.9","307.1","347.1","535.7","482.9","594.6","540.5","760.1","485.1","406.8","41.3","289.7","293.0","415.5"
"December","378.5","373.6","376.2","486.2","428.0","1,857.9","482.5","520.3","471.1","374.5","49.3","292.5","279.8","409.8"
"","(a) The value index is computed as a simple index of the ratio of rupee values between the current period and the base period.","","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
